区域,北京,餐饮类型,火锅,店铺id,1816984255,店铺名称,巴渝老灶重庆火锅,经度,116.15033,纬度,39.804535
用户,星级,评论
iMQ195519301,5.0,013大姐服务态度好、热情服务周到、送水果、菜品有特色、照顾小朋友贴身
匿名用户,5.0,强烈推荐，环境很好，味道很好，服务很好，饮料免费
可爱的欣520,5.0,特别好！！！！阿姨人太好了！！！！！！阿姨人超级好！！！特别的热情！！！并且特别的大方！！！！！大爱阿姨~~~~~因为是整个宿舍去聚餐，都是女生，所以阿姨好心的让我们不要点那么多的东西~~~阿姨人太好了~~~~~ #鲜虾滑# #冻豆腐# #牛肉丸# #香辣锅#
Wtv434774333,5.0,服务非常好  就是免费的饮料兑水有点太多了  已经没味道了     菜品不错   味道很好
kLM705293143,4.0,团的二人餐128，分量足，肉很好吃，菜和面都没吃完，饮料和小吃免费，服务很好。
匿名用户,5.0,服务很好，菜品都不错，环境很好， #鲜虾滑# #鲜牛羊组合# #太阳肉#
冯可可图图,5.0,吃过好几次啦 每次都吃撑 性价比还是很高的
匿名用户,5.0,菜品非常好吃，价格也比较优惠，点了四人套餐赠送很多小菜，服务十分贴心，自助免费赠送饮料，还送了西瓜，雪糕等等。
ww66692,5.0,013服务热情周到，超出想像，照顾小朋友很贴心，包给盖好，赠送水果冰棍。
Annie啦,5.0,013服务员服务特别热情
匿名用户,5.0,013工号阿姨好评～非常热情
匿名用户,3.0,味道还不错，肉品在搞活动有特价的，挺好的！
匿名用户,3.0,味道不错，环境也还可以，就是有点偏
名vs扬,5.0,服务很好，大姐很热情，干净整洁，推荐推荐，嘿嘿， #精品肥牛# #极品羊肉# #火锅#
凌凌19931019,4.0,挺值的，免费饮料也很好喝，还送了个凉拌菜，推荐
IMj268219508,4.0,服务态度很好，菜品也很新鲜。主要是喜欢他家的锅，一上一下……
Qvt753704194,4.0,服务态度超级好，味道也还行，阿姨姐姐人也太好了，给我们送了乾隆白菜，最后吃完还给送了冰棍
小王子555666,5.0,超级好吃，每次聚餐都去这儿，服务员很热情
zexin971006,4.0,性价比高，口味也不错，推荐！ #极品羊肉# #菌类拼盘#
xjm12345,4.0,服务还是很棒的，味道不错，还送了小礼品，果盘，真心不错
匿名用户,5.0,服务非常好，味道也不错，强烈推荐
EAx437537862,4.0,味道不错，性价比高，总体评价很满意。酸梅汤虽然不是熬制的，但味道过得去。 #秘制酸梅汤# #极品羊肉#
tbyx11,5.0,四个人吃足够，很划算
vRw370756949,5.0,服务态度很好，送了果盘和冰棍，肉也挺好的，两个人团购吃的很饱 #极品羊肉# #麻酱小料#
幽灵_船长,5.0,013阿姨服务非常周到贴心，菜品新鲜，味道很棒！吃的非常开心，5星推荐！！！ #极品羊肉# #精品肥牛# #鲜虾滑# #秘制羊肉丸#
Lmw577052803,5.0,带家人来吃老北京涮羊肉，不错不错，爸爸很喜欢发在微信上 广东人的爸爸也爱上了麻酱哈哈哈哈哈 ，妈妈很喜欢那个沙拉，一点也不生 ，  面也很好吃，， 13号阿姨很热情，服务很好
zh51037,4.0,菜品好，肉质细嫩，环境舒适，服务周到热情。
匿名用户,5.0,菜的味道很好 服务也非常热情 五分好评！
匿名用户,5.0,第一次来这里吃火锅，环境很好，性价比很高，四人餐的肉量很足。0031号的阿姨服务很好，来了以后给我们头绳来绑头发，还有发围裙，手机袋等等，这些细节都让人觉得服务超级棒，最后还送了我们果盘。喜欢这家店，以后还会再来吃的！
nHQ140055744,3.0,菜点的有点多了，味道不错，环境好
蜡笔刘德华,4.0,菜品分量足，味道可以，服务周到，环境干净整洁。
上火红茶,4.0,031大姐服务特别热情，来了好多次都是这个大姐服务的，喜欢你哦
尤wo饿了,5.0,很不错，价格实惠，而且服务很周到，环境也好，推荐推荐。
天涯易一心难,5.0,肉很新鲜，小锅卫生，味道自由选择，菜品多样，物美价廉，有免费饮料。
heyong2003,4.0,火锅四人餐去了五个人，环境好菜量大。服务态度也很好，我们自己带的酒水。挺好的聚会吃饭场所，有机会一定还会去。
YFW376579763,3.0,有小锅有大锅 手切羊肉还可以 喜欢分开吃的可以试试
匿名用户,4.0,"口味一直很赞👍菜品量足
工号013的服务大姐热情周到 事无巨细 超级棒👍👍  
他家一直是我及同事吃火锅的首选之地
平均消费水平很大众化  几乎任何人都能接受的范围内  地理位置很好 周边交通情况也很便利
这年头这样的良心商家不多了。 #手切鲜羊肉# #精品羊肉# #鲜虾滑# #菌类拼盘# #羊筋肉# #鸭血# #羊建肉# #双椒锅底#"
萌主芳儿,4.0,"【口味】汤锅比较正常，没什么怪味。菜品比较新鲜。
【环境】挺好的，宽敞明亮。生意很好，很热闹。
【服务】服务很热情，看到这个阿姨没有？人漂亮，服务也很好。如果我会再去，阿姨的起到很大的作用。老板给加鸡腿。
【等位】生意好，不提前预约需要等位，但是时间也不久，安排的很及时。上菜也很快，等位还给送菜。"
匿名用户,3.0,"【口味】好
【环境】好
【服务】好
【等位】好"
wEi784057673,5.0,忘了拍照片了，量给的很足，两个人都吃不完，最后还给打包了。赞赞赞！
Pzs509299787,5.0, #秘制酸梅汤# #极品羊肉# #特价羊肉# #精品肥牛# #麻酱小料# #鲜虾滑# #芝麻烧饼# #蒿子秆# #手切鲜羊肉# #火锅# #精品羊肉# #蔬菜拼盘# #菌类拼盘# #鲜鱼滑# #麻酱调料# #龙利鱼# #鲜毛肚# #鱼虾滑双拼# #番茄锅# #蓝莓山药# #羊肉串# #蓝莓汁# #猪肉韭菜水饺# #果仁菠菜# #糖醋心里美#
匿名用户,4.0,服务热情，环境干净卫生，但要早去，避免等位。
nNI213149911,5.0,服务、菜品都很好，那些差评怕是瞎了眼了吧
脸脸脸脸脸脸妹啊,5.0,正在吃就开始评价了哈哈哈哈哈~菜品超级好吃！！服务态度超级棒！！给皮头绳  衣服套 美团团的券超级划算呀~下次来北京还来这家！！太赞啦~
Lzh123151,4.0,味道不错，量比较大，蔬菜新鲜，服务到位
菜23,5.0,菜很精致，尤其是手切羊肉，是立着的很漂亮，服务员特别热情
v_boom.,4.0,服务员很好，我很满意😊️😊️😊️ #极品羊肉#
vCz164253191,1.0,吃完第二天早上和朋友一起拉肚子
泡菜小火锅_,1.0,昨天晚上和男票一起吃的，点了两个羊肉，一个牛肉，一个牛肚，一个蔬菜拼盘，鸳鸯大锅，吃完之后今天早上我们俩都拉肚子了，以后不会再去了
NNn426068897,4.0,菜品丰富新鲜，团餐搭配的不错。就餐环境好
Jbd94689468,4.0,服务非常热情，火锅味道很不错，就是最后的面里有根头发。😊忙中出错可以原谅。
MbE838644735,4.0,"【口味】
【环境】
【服务】
【等位】"
mAc653601127,5.0,工号013服务员阿姨服务热情周到!五星好评！吃得很满意，希望贵店的生意越来越红火!
dND366046837,5.0,首先服务员很热情，进去之后就给找了围裙还把脱下来的外套给遮起来，虽然没有什么实际作用还是一身的火锅味。然后上菜速度也是可以的，还有就是菜量也挺足的，和男票两个人吃的很饱。但是酸梅汤不好喝兑的水太多了。还送了麻将拌白菜挺好吃的。总之推荐挺好吃的。
阳光下陈帅,5.0,好吃
yahoo8801,4.0,还不错
Mcw110751885,5.0,环境优美交通便利菜品好上菜快工号013的大姐服务特别的周到还送了果盘谢谢🙏
afA451318642,5.0,薛阿姨服务态度特别好！隔壁！热情！给人一种如沐春风之感，一家店的口碑就是靠着薛阿姨这样的优秀员工积攒起来。千言万语汇成一句话，下次再来！
张玩儿,2.0,作为南方人，并不觉得好吃。zzzzzzzz
匿名用户,5.0,很不错，谢谢
YSY755538339,5.0,菜品味道相当可以了，福口居的服务堪比海底捞了，以后可以略过海底捞了，03号阿姨的服务好的不要不要的，特别热情，能想到的都想到了！
DongL696,5.0,0031胡姐姐服务态度很好
oZd550303562,5.0,双人套餐超值 #秘制酸梅汤# #极品羊肉# #芝麻烧饼# #宽粉# #鲜虾滑# #金针菇# #蒿子秆# #手切鲜羊肉# #牛骨髓# #梅林午餐肉# #黑白叶# #菌汤锅# #火烧# #鸭血# #多种饮料畅享# #美味蕨根粉# #牛脊髓# #芥末木耳# #豆苗# #捞汁小皮蛋#
匿名用户,2.0,一般，感觉没有以前好吃了，服务态度也没有以前好了
秒睡的猫咪,4.0,普普通通 羊肉就一般  反正是再也不会去的一家店
匿名用户,5.0,013姐姐特别好  服务态度热情 环境不错 下次一定还去
qZT861348948,4.0,"菜很多，分量巨足，
【服务】挺好挺好"
矛盾的畅想,5.0,很好的一家店，二层环境很舒服，菜也很好吃
矛盾的畅想,5.0,菜品很好，肉类不错，吃完感觉很舒服。
匿名用户,4.0,环境不错，服务周到，味道还可以！最后送了西瓜果盘
KXa426747699,5.0,不错的团购，性价比高，适合四到五人朋友聚餐
嫕陌,5.0,非常棒！阿姨服务很周到，菜也很好吃！特别棒
frD774866770,4.0,服务不错，味道一般
Neptunequakes,5.0,自大兴区而来，虽然相隔20多公里依然阻挡不住我们追逐美食的步伐，已经很久没来过了，这次来吃福口居，菜品依然新鲜，味道依然优秀。店里还更新了好多菜品，薛姐是我们的老朋友了，每次的服务都面面具到，热情似火，餐前送了美味的开胃菜，餐后还送了精美的果盘和儿时最爱吃的小布丁。在这里有一种家的感觉，薛姐对我们就像家人一样好，在这里吃饭有一种幸福感。我朋友是地道的内蒙人，他说在北京吃牛羊肉他只来福口居，足见这里的牛羊肉又多良心了。店里干净卫生，服务热情周到，餐品新鲜美味，真是不可多得的美食宝地，真心很推荐这里，朋友们快来品尝品尝吧！ #秘制酸梅汤# #麻将调料# #蔬菜拼盘# #麻酱小料# #秘制羊肉丸#
十年桃夭,4.0,口味非常好，服务也非常好，如果没有服务员一直来催给好评就更好了，当然我这回的好评是真的，其实不催我也是想给好评的。价位公道，口味很好，服务不错，套餐搭配也很合理，是可以回购的安利
ceK520273949,4.0,因地址在单位附近，时常去那里吃。
NIU664769418,5.0,口味很棒，服务员阿姨也很友善，很愉快的用餐体验。
neM266476148,5.0,买的双人套餐，量足，味道好！特别是服务员，服务特别贴心，热情，而且周到。还送了一盘油豆皮，很仁义的商家！和昨天学院南路的羊蝎子吃完的感觉截然相反！
pGn358409520,5.0,服务态度特别好，菜量很大！这些菜两人吃都没吃完！！改天再来！！
lqD515645684,5.0,服务好，热情周到，菜品好，品种齐全，营养丰富，老顾客了，经常来
愁里欲飞还住,5.0,羊肉锅可以说是十分好吃了
vTd250140406,2.0,服务很周到，就是锅底和调料真的很难吃，就是一人一个电磁炉一个小锅，锅底和调料比呷哺还不如，完全不是大火锅该有的样子，吃过的味道最差的火锅。虽然服务很好但是不会再去第二次了。
匿名用户,4.0,013服务很好，赞一个
PkP108725750,4.0,很好吃的涮肉馆，吃着放心
小yo童鞋,5.0,经常开 服务员阿姨超级热情  只是热的饮料不是特别多
美好人生zaizai,3.0,第一次去，还得等位置，服务很好
api998998574,5.0,服务特别好，堪比海底捞。东西也很好吃，不贵
RQg941599463,5.0,强推强推，服务很棒，环境很有特点
匿名用户,3.0,菜量够吃，人挺多的，价格也实惠，就是旁边人太吵闹，上菜偏慢
叶海蓝烟,4.0,服务好，阿姨热情，东西很好，口感不错，性价比高，东西实惠。推荐羊肉和毛肚，位置好找，一家人合适，老牌老店，值得推荐，还有小吃，还送的西瓜，牛羊肉挺鲜，没有因为美团而区别对待，烤串也挺不错的，适合朋友小聚 #羊肉# #羊羔肉# #肥牛# #虾滑# #鱼滑# #长寿面# #鲜切羊肉# #绿色鲜毛肚# #牛肚#
丁满LEE,3.0,人超多 去之前一定要先预约一下 服务态度不错
zztwf,4.0,很好，服务周到，热情，吃的很舒服。
nGb769136781,5.0,小兰服务很好👍拿围裙，手机套，很热情，环境也很老北京，墙上都挂着老北京的物件，菜品也很好，推荐虾滑，高钙肉，豆浆，酸梅汤很好喝，饭后还有小布丁，下次还会光临！
匿名用户,4.0,挺好的！继续努力加油！
zztwf,4.0,很好，离家也近，常客。
Pzs509299787,5.0,非常满意，已经是很多次来这里啦！服务特别热情周到，环境很好！推荐给大家分享
LTR491962117,5.0,店员服务特别好，菜的分量也很足，3:个人吃还剩了不少，很满意！
上火红茶,5.0,偶然发现的，团购的双人餐，羊肉很嫩很好吃。两个人没吃完，店里还送了一盘凉拌白菜，最后又送了小布丁雪糕。真的是性价比超高的一家涮肉店。
daniowu,4.0,很好吃，很实惠
匿名用户,4.0,好吃，隔段时间就想来吃
Kingneck,3.0,"【口味】好可以
【环境】古典美
【服务】周到 
【等位】今天人不多。"
小宾同学,4.0,服务不错，菜品很超值，二人套完全够两个人吃了。我怕不够多点了。结果都是大包！
麦香飞扬,5.0,分量足，两个南方小姑娘吃不完，牛羊肉肉质味道不错，03号员工服务细致，经常过来添水 #精品肥牛#
理智乐观派,5.0,"服务好评，同学过生日一起来的。
顺便祝我同学生日快乐！"
dJP978664167,5.0,这家服务太贴心了，看到我们提了一个蛋糕，服务员0031马阿姨马上送来了一晚碗长寿面和一个小公仔，马阿姨每上一个菜总能说好多祝福语，有史以来最开心的一次饭店吃饭。来个阿姨照片。
向羽轩,5.0,环境不错，味道好，肉新鲜，菜种类多，还有好多自选的饮料，服务人员态度也好，最主要价格还不贵，非常棒的店！
nkc569509089,3.0,03服务态度挺不错。但希望能改善菜品的口味。
凌风玉麟,3.0,还可以吧，三个人吃了个四人餐……肉远远不够，不过服务人员很热情很周到
sCL767000927,4.0,013大姐服务特别好，热情周到，还送了孩子一些小礼物，每次都服务都想在客人前面，
kUh938316919,4.0,薛姐服务态度特别好，本来下雨了大冷的天，排队等了快一小时了心情不太好，大姐周到的服务瞬间让我们心情好多了，加汤、拿围裙什么的都特及时，服务态度特别好。
梅子971814,3.0,这个菜品应该适合当地人吃，我们不太会吃
ice_guo_MT,4.0,来北京感觉，口味挺好，挺实惠的。还有免费小吃
诚无为,5.0,饭菜可口，服务周到，老板大气。我和同学点了一甜一咸两个口味的小饼，一开始上了两个咸的，发现上错了之后立刻给补了一个甜饼，又加了个凉菜。好评！
Lvl217006568,5.0,服务非常周到，让人感觉很值，味道也不错
lWG613140596,4.0,多次光顾了，物美价廉，服务周到 #极品羊肉# #精品肥牛# #秘制酸梅汤# #芝麻烧饼# #牛仔肉#
天晴红云,5.0,非常不错的的一家火锅店，作为一个重庆人觉得咱们首都的火锅味道很好，分量足服务也不错，有机会带父母也过来试一下。
xOm669815178,5.0,第二次来北京出差，专门选择这家来吃晚餐，分量很多很多，还送水果～冰棍～服务特别满意，那位留着刘海，头发后面夹几个发夹的大姐，我要特别赞👍你，服务态度很好！
ttstwang,5.0,很好！味道不错
酸奶与兔子,4.0,一如既往的好，用餐整体很舒适，03号阿姨很热情，笑呵呵，让人心情更好啦
