景点名称,虎啸峡激流探险漂流,景点位置,杭州市桐庐县钟山乡城下村
97078699,游走旅行的摄影人,2020-07-01,在这山间河道中，也许只有这样的漂流，才能让更多的人融于自然，去感受这里的好山好水，去释放生活和工作上的压力，去劈波逐浪，凌空而起，在响彻峡谷的尖叫声中，品味夏日清凉的魅力，虎啸峡激流探险漂流大赞！
1764648,鸭鸭爱生活,2020-07-13,在桐庐虎啸峡纵情漂流，时而被水花溅个一脸，时而荡悠在河中赏两岸青山，空气中弥漫的负氧离子，大吸一口，整个人都清爽了许多。九曲十八弯，弯弯有惊喜。一旦到了平缓的河面，事先准备好的水枪就开始发挥它真正的作用了，互呲起来不分你我，真是一刻都不得掉以轻心，有惊心动魄的激流刺激，也有风平浪静的戏水打闹。
75698186,在路上的小羊,2020-07-12,夏日玩水！来虎啸峡湿身。&#x0A;10公里奇异峡谷、260米垂直落差，百万方库容的磅礴水量，山鸣谷应，犹如虎啸狮嗥，一轮感官上的饕餮盛宴。想要领略劈波逐浪、驾驭巅峰的别样激流探险风情，一定要来华东第一漂——虎啸峡激流探险景区！漂流版的速度与激情，虎啸峡漂流玩的就是心跳。&#x0A;这样好的地方，这个夏天可别错过哟！
66117459,左左xians,2020-07-05,五岳归来不看山，虎啸峡归来不嬉水。&#x0A;在峡中蜿蜒穿行，时而湍急如梭，时而舒缓惬意，时而逐浪而飞，时而跌宕起伏，让人心旷神怡，乐不思归!不得不承认，&quot;华东漂流第一站&quot;，确实名副其实！历经1个半小时，结束了这场刺激的冒险，感到一身轻松，仿佛已融于这青山绿水之中，现在回想起来，依然很想再去感受一次这样的乐趣。
113598,添喜lucklily,2020-07-04,推荐大家来这里——桐庐虎啸峡漂流，位于杭州市桐庐县钟山乡。五岳归来不看山，虎啸归来不戏水。这里溪段急、落差大、水量磅礴，十公里延绵曲折的漂流溪道，配上260米的垂直总落差，上一秒还是干爽清新，下一秒就全身湿透了。一趟玩下来，酣畅淋漓，直呼过瘾！
4243327,刘小顺,2020-07-03,“虎啸峡漂流”位于浙江桐庐钟山乡，是浙江省乃至长三角最著名的漂流地之一，甚至还被许多游客誉为“华东第一漂”。&#x0A;“10公里奇异峡谷”，“260米垂直落差”，“百万方磅礴水量”，看到这些关于“虎啸峡漂流”的关键词，是不是就已经足以让你心驰神往，蠢蠢欲动了？&#x0A;通常来说，大家印象中的“漂流”似乎都只有半小时左右的体验过程，可“虎啸峡漂流”全程竟然长达10公里，漂完全程需要一个半小时左右，让你一次过足瘾！&#x0A;“虎啸峡”因为峡谷幽深、惊险刺激、声如猛虎而得名，在这条长达10公里的奇异峡谷里，两岸都是青翠的山林，最高垂直落差达260米，再加上源源不断的磅礴水量，怎能不让人心动？&#x0A;尽管“虎啸峡漂流”全程需要一个半小时，如果你在中途跟小伙伴们打打水仗、再嬉闹一番的话，甚至需要两到三个小时，但大多数游客到终点后依然意犹未尽，感叹时间过得实在太快了。难道你不想来试试看？
8027401,唐伯虎2012,2020-07-03,这里漂流不乏惊险之处，水流落差适中，倒卷浪和险滩布局合理，带来了清爽刺激的超酷体验，这里天天都是泼水节，处处都是水上战场，在这里，可以充分体验回归大自然的无限乐趣，一个多小时的漂流路程，足以让紧绷的神经在惊涛骇浪中暂时放松，让疲惫的细胞在原始的峡谷里得到复苏。
24456030,首席造梦师,2020-07-02,虎啸峡激流探险漂流，位于杭州桐庐县钟山乡城下村。距离高铁桐庐站约35km，打车约150元，建议人多一起打车或自驾前往。一路上的山水田园风光美如画，路况很好。虎啸峡激流探险漂流长达10km，具有260米的垂直落差！整体来说虎啸峡激流探险漂流的前半段惊险刺激，玩的就是心跳；后半段较为平缓，一路体验各种心跳加速，非常值得打卡。
66356214,十三North,2020-06-30,夏日，漂流中～～～&#x0A;南京的梅雨季岁还没有结束，但天气依旧是闷热难耐，想要寻觅一处清凉～&#x0A;很早就听说过桐庐的漂流，在端午假期相对比了几家，最终选择了拥有华东惊现第一漂美誉的虎啸峡。&#x0A;很多人对桐庐的印象应该是《向往的生活》，其中有一季就是在这里取的景。&#x0A;前往桐庐的交通还是很方便的，最适合的方式应该就是自驾了。&#x0A;【趣味】&#x0A;虎啸峡全长10公里，拥有着九段高落差的激流，同时也拥有着较为平缓的区域，可供游客戏水玩耍。&#x0A;落差大，溪段急，而且水量磅礴，因此也造就了这里拥有着小溪大浪的特点，所以在这里漂流，下水3秒就能体验到与水相拥着极速而下，炫起千层雨的潮，随之而来就是惊险，刺激和尖叫，还有欢声笑语了～&#x0A;在这里晚上一天都不为过，尽情的在青山绿水中享受这无比放松的时刻～
74242641,阝可阝击,2020-07-17,"盛夏时节在虎啸峡来一场漂流，是我期待已久的选择，果然超出预期，不仅可以愉悦身心，更可以放松自己，让人有一种“久在樊笼里，复得返自然。”的感觉！收获满满的惊喜和刺激，这趟旅程满分点赞！&#x0A;地址：浙江杭州市桐庐县钟山乡城下村&#x0A;门票：180元&#x0A;自驾：杭新景高速桐庐出口下高速,往瑶琳、分水方向，至横村镇红绿灯左拐往钟山方向抵达景区。"
4548139,背包客李小波,2020-07-16,来桐庐虎啸峡漂流，彻底释放夏日激情。&#x0A;驾驭一艘皮划艇，在湍急的水流与浪花里尖叫连连，在上游体验完中流击水，到了平缓的下游，选择惬意地斜靠在皮筏里，经历完惊涛骇浪的神经松弛下来，很有几分劫后余生的感觉，疲惫和压力也随之一扫而空，闭上眼来，静静的欣赏两岸的美景，整个漂流体验十分满意，值得推介。
