区域,北京,餐饮类型,烧烤烤串,店铺id,4147527,店铺名称,金滏山自助烤肉（大成路店）,经度,116.255102,纬度,39.889762
GAa564438664,3.0,"好好好好好好ヾ ^_^♪好好好，真的挺好的，自己烤肉，自己炒肉了，铁板烧炒肉了，想吃啥炒啥，肉菜调料混合！倍儿棒！
酒水 啤酒 白酒 红酒 饮料 咖啡 冰激凌，
开森！开森！开森！！！
肉腌制的都很入味！蔬菜水果也挺新鲜的，都用冰块围着保鲜呢。
一个桌俩人最合适了，人多了烤不过来，
时间就那俩小时！
一个人占一个桌烤有余，
四个人一桌烤不回来哦。
看着推荐菜想起来了，牛排牛肉，这个最好有服务员盯着桌儿，哪桌儿烤牛排了盯着，因为牛排烤了以后最好有刀或剪刀剪开哦，不然牛排还是有些难撕咬开哦。也许不是顶级嫩牛肉哦，这个价位已经很可以了！ #五花肉# #水果# #烤三文鱼头# #小点心# #鲜榨果汁# #烤鱿鱼# #三文鱼排# #烤金针菇# #冰淇淋# #果汁饮料# #骨肉相连# #日式寿司# #芒果慕斯# #咖啡# #腌肉# #蛋挞# #烤肉料# #生菜# #黑椒牛排# #海鲜汁# #小料# #葡萄酒# #酸梅汤# #雪花# #抹茶蛋糕# #烤香菇# #烤洋葱# #芝士蛋糕# #蘑菇# #菜花# #提拉米苏# #杏鲍菇# #热饮# #腰花# #香蕉沙拉# #莲子紫米糕#"
诶呦呵我是潇潇,5.0,本来我是去参加书展的，然后跑这里吃烤肉，挺好的，挺有意思的。哈哈，这里服务员挺好的，很亲切，哈哈，我觉得挺喜欢，有很多海鲜，不过我不太喜欢吃我就吃培根卷，其他不太能吃
往昔茴忆,1.0,菜品不怎么样，一次一次比一次差
kin658446792,2.0,肉的口感不好，卫生较差，性价比不高。
匿名用户,2.0,环境还行  但是种类真的很少 而且 肉的品质也不是很好
udu498233142,3.0,环境挺好，地方也很大，菜品挺多
wRC314138443,1.0,要个五花肉片磨磨唧唧不想给，盘子里就几片烂的非让拿去吃
匿名用户,1.0,难吃的要死      后厨凉菜什么态度   真垃圾
hongwang2013,1.0,打扫卫生的大妈素质真的太差了，环境也特别差
隔壁我姓赵,3.0,生蚝不错，吃了好多。哈哈哈哈。就是供不上
Xlx282634458,3.0,还行，可以吃。                不好吃也不难吃！
jiaxzlz,5.0,很好，味道很不错，值得推荐
mDS897294898,5.0,挺好的，菜品很多
匿名用户,4.0,不错，一个人去的，先去尝试了下。一个人的午餐！
彬彬steven,2.0,一般般 这个价格也只能吃饱而已 口味就算了吧！勉强糊口而已
BEA220128440,4.0,还可以，人挺多的，味道也不错，只是感觉没有以前好
匿名用户,3.0,环境不错，服务态度很好，菜品种类很多
彬彬steven,2.0,一般般 实惠吃饱而已！只能这样了！口味就不谈了
BRi747602438,5.0,服务周到热情，菜品丰富新鲜，同事聚餐来的，大家都很满意
pui357731861,5.0,赞👍
匿名用户,3.0,很不错  就是时间短了点   吃的很撑    总体很满意
Hi你的先生,2.0,还行就是便宜，菜上慢，没了也不知道加
匿名用户,2.0,菜品味道一般！肉貌似不像真肉，海鲜还可以！点心做的也很一般！盘子要好好看有的没洗干净！
吃了么你勒,3.0,还不错哦，服务态度很好，建议去试试
开开心心的吃吃吃,5.0,有牛排真棒！蔬菜水果也很多！吃不了还可以退回去！别地都不允许份行为，这里允许
东北姜郎,5.0,很好吃，经济实惠！
zpy183,3.0,还好 就是没有烤串。。。。。。。。。
勇敢的心黎,2.0,服务不好的，酸奶还可以。服务态度不好
EcM710461014,4.0,还可以
LuR817382367,3.0,味道多样，食品也很多，总之还不错
诠释Y,1.0,"餐厅大部分的位置都是客户做座位区，菜品很少只有相对的两列，我们是七点半过去的，到八点半左右就已经开始收拾菜品了，当时店里还有很多客人
【环境】环境一般，没有开空调，很冷"
rCL187294853,2.0,饭菜质量一般般，不去去饭店或者去火锅店涮火锅
匿名用户,4.0,菜品多样化，服务很热情，环境幽雅
匿名用户,3.0,肉还行 好几种 没什么服务 ！！！！！
匿名用户,1.0,服务态度太差 验证等那么久没人理
sunxu_75,4.0,好评好评，来过多次了，下次还来
特立独行的310,1.0,"垃圾
【口味】差，花甲等熟食都是生的，还有沙子，肉里一股厕所的味道
【环境】到处都是油烟，碟子没洗干净，餐具少，那一片最差的装修
【服务】叫半天服务员没人应，要点什么啥都没有，勺子没有加肉的夹子没有
【等位】最低等，想想乡下连自来水都没有的含着沙子和垃圾油的大食堂。连地上都是油！"
峰6560,5.0,很棒。服务也很棒。因为我团错了券，午餐用了晚餐券，晚上回去了才发现，小姐姐还是转了微信给我退了。不错不错
匿名用户,1.0,菜品少口味一般性价比根本不合适
KZj683195776,5.0,菜品品种多，样式新颖，很满意
不可错过了,3.0,以前经常去，现在的品种少了不少。
匿名用户,1.0,去过一次就够了太残忍了，餐厅用餐可以随意吸烟，
温柔澎湃你裘哥.,1.0,菜品不好口味不好服务一般卫生也不咋地主要我快吃完了好多菜也都不上上了的菜好多都是中午剩下的特别不好坚决给差评对了那得虾特别小鲜榨果汁就相当于两个苹果扎完了兑上水这回吃完了就肚子疼下回绝对不会再去吃
匿名用户,2.0,"比较一般
【口味】酸甜的
【环境】不太好"
aCK335310991,1.0,菜的味道很一般，菜品少不好吃，在也不去了
楠在心里,3.0,"【口味】
【环境】
【服务】
【等位】"
维哥liuxiwei,4.0,菜品多，味道好，服务好，值得称赞
fengleic,5.0,同事一起组团聚餐，非常棒！
匿名用户,1.0,可能人人口味不同吧，感觉烤肉挺次的，毕竟也才六十块钱吧，也没报太大希望，想吃刷锅还得另交十块押金，并且前台收票时也不提醒你，最后只吃了一点甜点和水果，喝了点汤完事儿了
Wendddddddddy,3.0,【口味 美味多汁的烤肉 菜品新鲜 很丰盛 就是服务员收餐太不顾及旁边顾客的感受 剩菜剩饭差点儿豁在我们隔壁桌上
意中人bxy,1.0,这不是服务不好，是根本没有服务，垃圾没人收，吃完的菜我要了四次，都没上，只要值钱的虾类都是一次性的，吃完就没了，叫人上一直推脱，我从没给过差评，这次我实在受不了了，男朋友也说烤肉超级难吃，再也不会来了！
一八年新mark,1.0,这是我吃过最差的自助！食材没有一样是新鲜的！！牛肉没有牛肉味，羊肉没有羊肉味，不知道是什么肉拼凑出来的！凉菜不新鲜，热菜也没有几样！啤酒是假的。蘸料没有味道。所有的食材都是最劣等的，拿了很多菜吃了几口基本全丢了！以后不会再来了！！
zy2053zl,5.0,菜品不错，肉类也很丰盛。家庭聚会已经来好几次了。
匿名用户,1.0,今天很荣幸能吃上你家的自助烤肉，味道先不说，能不能说一下为啥吃完了拉了一天肚子这个情况，我看评论有好几个人都这样，味道很难吃，菜品也不怎么新鲜，海鲜小的不行，这个不推荐来。太难吃了，吃完了第二天嗓子很难受。各种。加火锅还要另收费，这个自助餐厅你们来盘盘。
AQ阿强0403,3.0,就那样吧，生菜每洗干净，仔细点
nederlandse,5.0,菜品很丰富，人气很旺，位置好找，很实惠，聚会的好地方
忘相似,2.0,种类少，可选择的种类也少，一般吧
nederlandse,4.0,菜品丰富，量足新鲜，服务热情，很满意
sei286840757,1.0,菜品少服务员不肤责任一天不如一那
KZj683195776,5.0,"菜品样式很多，味道也不错，推荐大家去品尝
【口味】
【环境】
【服务】"
匿名用户,4.0,口感不错。饮料酒水也很不错，适合聚会的场所，下次还去
池子布灵布灵,2.0,服务真心不咋样，菜品少的可怜，去的时候啥都没有了
区域,北京,餐饮类型,川湘菜,店铺id,192047822,店铺名称,蜀红缘川菜馆,经度,115.977429,纬度,40.461911
用户,星级,评论
DZX919175953,5.0,点的麻辣小龙虾 极品毛血旺 剁椒牛蛙 都很好吃😋 服务也很好 值得去
zhaojinling492,4.0,点的酸菜鱼和松仁玉米，味道不错，全天营业，下午三点去的，也有不少人在用餐，还不错！
oIG721645382,1.0,客观讲菜品味道不错。但是我给了低分评价是因为以下原因：我们一行三人点菜时有人想吃小龙虾 小龙虾168 一份，我想着中午没怎么吃东西大家都饿 一份小龙虾再点两个菜一个汤的也差不多三百了 团购里有一个298的套餐（如图）小龙虾，酸菜鱼（三个人都爱吃鱼）、凉拌鸡脚、炒饭、梅菜扣肉。扣肉我们都不太喜欢，于是问服务员可不可以换同等价位的菜，被告知除非这道菜没有了，否则不给换。不换就不换吧，我们安心等上菜。期间服务员告知要先把套餐的钱付了，才能下单，于是把单先买了。然而，过了两分钟服务员过来告诉我们，酸菜鱼没有了，让换别的菜，三个人都爱吃的酸汤鱼没有，什么心情！于是说换成水煮鱼，服务员问了一下说水煮鱼的最后一条鱼让人刚刚点了。😢😢好吧！我们说点水煮肉片，水煮肉片比鱼便宜接近30元，问能补差价吗？被告知不能。问为什么，被告知本来就是团的餐、本来就便宜了几十块钱！什么情况😳？团餐是你自己推出的好吗？我们想要换的菜不让换，想吃的菜没有！还不补差价！于是说不行的话我们不团了，气到想走。朋友也怪我早早的把钱付了。谁知道他们的操作这么骚气啊！感觉吃团餐就活该一样。前台牛轰轰的。差评
Wtn574394879,4.0,味道还不错，价格也可以
看天想你,3.0,还可以，价格偏高，菜不错，装修有点小清新，都不像川菜 #一品虾宝饭# #夫妻肺片#
yKj210785986,5.0,
fZG490095073,5.0,
匿名用户,4.0,
shulitingting,5.0,
wangwei68881,5.0,
谈天,4.0,
DUz674895928,4.0,
匿名用户,4.0,
dZV829535438,4.0,
区域,北京,餐饮类型,特色菜,店铺id,1663196,店铺名称,红菜坊（牛栏山店）,经度,116.65787,纬度,40.21232
用户,星级,评论
KAC441966,5.0,菜挺好的
郭郭晶晶,5.0,一直在红菜坊用餐，服务热情菜品也可口，最爱糖醋里脊了，好吃关键还特价，当天我们有聚会，提前问我们什么用餐形式，说可以帮忙布置一下，不是很专业但可以很有气氛，我想说这程度已经专业了，非常感谢！以后会一直支持哒
霍军威,5.0,过生日布置房间有意外Surprise…停车空间大，环境好服务热情请客吃饭必选地.感恩遇见
a布丁可爱,5.0,强烈推荐这家店 最近都是和同事一起过来吃饭 他们家的菜味道真是香味十足 菜量也是很大的 价钱还不贵  服务也是很热情的 总 卫生环境也不用担心 相当干净整洁 疫情期间也很严格 进门消毒量体温👍   总体来说呢都是很满意 还会一直光临的！
uoE840348003,5.0,疫情过后的红菜坊的服务很专业，进门消毒测体温，让客人一下放下心来，环境干净整洁，菜品也比以前更美味，服务员也很专业，每人都佩戴了一次性手套，一次性口罩，每个人对客人也很热情，所以我选择经常去。
lh欢宝吖,5.0,"路过牛山 想着去红菜坊吃饭吧 刚进去让测体温  
消消毒 服务还挺热情的 菜品感觉经过疫情之后厨师的厨艺还见长 不错的呦 强力推荐烤鸭 臭鳜鱼  每次必点"
DfX3333392568,5.0,菜味道不错，量大
会跳舞的花痴猫,4.0,附近就这个还算物美价廉
结伴而行无语,5.0,经常光顾，挺好的，好多年了，菜也干净，味道不错也！
小雪儿1234567,5.0,"菜品一直都不错    必点的招牌烤鸭
  服务很细心  到位    特别满意
 朋友过生日还给我们布置了一下
特别感动   还给我们送上梨汤特别贴心
有时间都会来这里吃饭  很满意"
小雪儿1234567,5.0,"好久没来吃了
今天请同事吃饭    这家的菜品一直都不错
 服务员 服务很热情     非常地有礼貌   特别喜欢这的菜品和服务   环境也很干净
给安排的这个朝阳的房间非常好👍   很舒适
 下回的 年夜饭也在这预订了😊😊"
xiaogaojiangjun,5.0,好
uoE840348003,5.0,经常过来吃，牛栏山就这家餐厅还可以，环境干净整洁，菜品也挺好，价格也挺实惠，烤鸭也很正宗，服务员也很热情，跟到自己家一样，有路过的可以选择这家店👍👍👍👍
Kvh270130486,5.0,我有一个朋友过生日就去红菜坊吃饭，他们的菜都挺好吃的，服务员很热情。
xvD331408029,5.0,今天请朋友到红菜坊吃饭，来到的第一感觉就是觉得服务热情周到，卫生挺干净的。特别是菜品味道不错，我很喜欢吃鱼香虾肉，酸甜微辣，大人小孩都适合。 #精品烤鸭# #毛血旺# #鱼香虾肉# #肉丁茴香#
wuo602151633,5.0,菜品量大实惠、每周还有特价菜、口味很好
fBQ949487256,4.0,"这个中秋是宝宝的生日，特意来这家餐厅吃饭，没想到的是给了我们一个大大的惊喜，给宝宝布置的房间送的面、还有特制的月饼，，可想而知想的太周到了……亲朋好友也特别的高兴，下次还要来这家餐厅！！好评
【环境】非常的干净、、上档次
【服务】服务态度很好会有意想不到的惊喜"
仓元凯,3.0,哈哈哈，还可以味道，不过价钱实惠
jYL231143099,4.0,【口味】今天点了爱吃的毛血旺和烤鸭还有宫保鸡丁。味道还不错。非常满意。很热情。吃了红菜坊的饭，感觉有家的感觉。
lh欢宝吖,5.0,非常满意 点的烤鸭口感不错  芒果布丁每次都点  非常满意  环境也是让人感觉挺干净的  自认为感觉比别家都好  服务员态度也很好  以后就去红菜坊了
蕾啦蕾啦,2.0,我们4大一小点了8个菜，其中一份王牌烤鸭，告知我们会比其他鸭子大，奔着不点其他主食的心信了，结果就是最后时候我们所有菜都空盘（上菜速度特别慢保证你的菜空盘才会来下一道）又点了三份味道不错的韭菜鸡蛋饺子。唉😔我们还打算点多一点打包回去明天不用做饭了，结果量少到可怜😣唉😔
rdE987521458,5.0,菜做的简直一绝，服务特别周到。烤鸭做的外酥里嫩，入口即化。糖醋里脊口感好，价格实惠。以后还会来的。
匿名用户,3.0,菜品还可以，附近吃饭也就是这里了，环境不错！
uoE840348003,5.0,烤鸭真是一道美味佳肴，臭鳜鱼闻着臭吃着特别美味，菜量也很大，环境干净整洁，服务热情周到，细致，过生日还给送了长寿面，服务员双手递，并祝寿星生日快乐，下次还会再来
jYL231143099,5.0,"【口味】菜品味道非常可口！
【服务】服务员热情周到随叫随到。
适合朋友聚餐，家庭团餐。"
ksn185648384,5.0,今天小盆友过生日，给免费布置的会场特别好，很感动，很感谢红菜坊的工作人员，服务员小姐姐也很贴心，提前帮我们准备好了宝宝椅和宝宝餐具，真的很贴心啊，最后还给我们赠送了精品果盘和长寿面，我们下次一定还来这里，强烈推荐王牌烤鸭，一品臭鳜鱼呦！
匿名用户,5.0,"【环境】不错
【服务】到位热情
【口味】超赞
【等位】送饮料非常感谢"
fBQ949487256,4.0,今天来红菜坊用餐了，一进门就感觉到了这里的热情的服务，优质的用餐环境、菜品口感还是不错的，可圈可点，还送了果汁，总体感觉挺好，下次还会选择这家餐厅用餐！！
匿名用户,5.0,"【口味】口味很赞、强烈推荐臭鳜鱼好吃、烤鸭也不错
【环境】整体环境优美、干净整洁
【服务】快捷服务、还算不错
【等位】周六日要等位、附近生意最好的饭店了、因为专业所以人多吧！"
Mqr450483139,5.0,臭鳜鱼做的特别好，口感正宗。千叶豆腐也非常好。以后还会来，
xvD331408029,5.0,牛山红菜坊菜品量大，色味俱全，是朋友聚会，家庭聚餐的好去处！
匿名用户,5.0,菜品真棒，价格也实惠公道，烤鸭肥而不腻，梅菜扣肉味道很棒，店很大气。服务员特别热情，特别是门口的姑娘们，积极帮我拎东西，明明一点都不重的小东西。
郭郭晶晶,5.0,超赞的！有一段时间没过来，来店里第一个要吃的就是宫保鸡丁，糖醋里脊，好吃到爆，因为还点了一个甜的菜，服务员还特意问了一下，都带甜的没关系吗？还挺暖心，没办法，这几个都好吃，都要，没吃过的真得尝尝，推荐推荐🍻🍻🍻
ppI97654043,2.0,感觉换厨师了，味道没有之前的好。而且我们全家去吃饭，老人不能吃辣，问这道菜能不能免辣。服务员直接回了句这是川菜系，不能不放辣。
匿名用户,2.0,菜品还不错，菜量也可以的，就是服务员的服务很不到，就别说到位了！缺少专业培训。可能是我们去的早，停车没人引导。
fBQ949487256,5.0,"环境不错特别的好，干净给人一种舒适感，非常满意😊😊😊菜品也特别的好吃，很正宗👍👍👍👍👍
服务特别热情超级赞👏👏👏👏楼上还有包房还可以布置房间，院里还有停车位，在牛栏山这边数一数二的了好评好评👏👏👏"
teQ262983702,4.0,烤鸭上得慢，别的菜上菜速度和味道都还不错，性价比不错！
匿名用户,5.0,环境不错进入大厅就觉得服务热情，而且很干净，因为中午饭口时间，我们比较赶时间，服务员特意介绍了快的菜，非常贴心，菜品也比较符合我们的口味，因为工作地点比较近，价位也不高，所以真心值得推荐 #宫保鸡丁# #鱼香虾肉# #咸蛋焗南瓜# #脆皮鸭丝卷# #红糖酥饼# #芒果布丁#
匿名用户,5.0,低消费，高享受
郭郭晶晶,5.0,菜品齐全，选择性多，服务员主动热情的服务非常感谢，因为工作，休息时间有限，还特意帮我介绍了时间比较快的菜，很经济实惠，外边天气特别热，厅里空调非常舒适，环境也很好，值得推荐 #五花肉炒土豆片# #菌菇黑椒牛仔粒# #鱼香虾仁# #蜜汁鸡翅# #黄金烤饼#
多来米139,1.0,太慢，上菜也慢，价格也超级高，味道也变了
匿名用户,5.0,环境干净整洁，上菜快菜品新鲜，服务员随叫随到，上菜快。 #毛血旺# #石锅菜花# #水煮鱼# #五彩拉皮#
匿名用户,5.0,环境干净整洁，菜品新鲜味道不错 #毛血旺# #石锅菜花# #水煮鱼#
ztG209954767,3.0,"菜品很好，服务定包间很麻烦，需要提前预订，去了以后包间被别人占了，等位20分钟才有包间，要不是家人一直坚持必须坐包间，服务员就要把我们安排在三层的公共区域了。
过生日，带2娃、孕妇真的没办法在公共区域。哎,,Ծ^Ծ,,气氛居然会出现定了包间说有，到了以后又没有的状况，契约精神何在？"
嘿嘿嘿，逗你呢。,5.0,"新上的菜品口感纯正不错，服务也特别热情周到。五星好评
【环境】环境非常干净"
nmA247215372,5.0,很不错，孩子在这里过生日，吃得很好，送了长寿面
霍军威,5.0,菜品不错，服务积极周到主动送长寿面，感谢很满意的一次就餐继续光临
FUn803133141,4.0, #鱼头泡饼#
庸心敬然,5.0,很不错，值得下次再去，服务也很好，加油！
嘿嘿嘿，逗你呢。,5.0,烤鸭肥而不腻。肉质鲜美。鸭皮蘸白糖。入口即化。
MuI198514174,5.0,"【口味】
【环境】
【服务】
【等位】
【服务】 #精品烤鸭# #宫保鸡丁# #臭鳜鱼# #香辣美容蹄# #鱼香虾仁# #蒜蓉粉丝虾#"
华哥的男人,5.0,上菜超快，菜量足，菜品口味佳，一定还会去的
KPP968946243,3.0,人少时菜量足，平时来人少环境还不错 #毛血旺# #湘西下饭菜# #坛蒸肉# #韭菜盒子# #龙鼎坛子肉#
起点的石头,4.0,菜品一如往常的好吃！服务周到，公司布置的很漂亮，红菜坊是这边不错的餐厅了，欢迎大家都来吧！
yyylllkkk,5.0,性价比超高，每次去牛中都去吃！感谢服务人员！口味非常好，环境好有停车位。
MuI198514174,5.0,品种多  味道美  服务好  非常满意！ #精品烤鸭# #鱼香虾肉# #石锅菜花# #臭鳜鱼# #蒜蓉粉丝娃娃菜# #宫保鸡丁#
yyylllkkk,5.0,菜品特色精致、每周都要去吃、环境口味服务上乘有停车位方便至极
wag934662393,5.0,离家近，味道好，是家庭聚会的理想场所。
yyylllkkk,5.0,"价位性价比超高，每周必来
【口味】
【环境】
【服务】上乘 ，有停车位方便贴心👍"
yyylllkkk,5.0,味道服务环境上乘 每周必来 性价比高 好吃，期待下次还来
yyylllkkk,5.0,每周必来 停车方便 口味环境 服务上乘，每次吃完都期待下次再来👍
rjT996410554,5.0,在顺义吃的最多的就是红菜坊了，有好几家分店呢，每到周六日都是婚宴 满月的，生意特别好！尤其是菜品口味丰富，适合老少皆宜，是家宴 请客的首选地，他家的招牌菜烤鸭 臭桂鱼 几乎桌桌必点 ，推荐大家来尝一尝！
yyylllkkk,5.0,每周都去，口味很好👍环境好！服务周到！喜欢吃！
XRV560913043,5.0,环境优雅！场地非常漂亮，一进来就给人一种亲近的感觉！菜品也是相当可口！发现了这么一家好吃不腻的饭店真是不错！菜品多也可口！没有一段时间吃不完这一本厚厚的菜谱！下次会常来。强力推荐！😍😍
XRV560913043,5.0,菜品一如既往地可口，烤鸭需要45分钟，但还是给人一种期待！每次来必须点的菜！服务员小伙精神，姑娘也漂亮大方！以后出门就来这里啦！
彬子564,3.0,上菜速度快，口味不错。服务好。
起点的石头,4.0,歪嘴虾，土钵鸡，特色王牌烤鸭，人工水饺，服务态度好，下次还来，菜量大！
wuo602151633,5.0,"【环境】不错，挺干净
【口味】口味很好吃，强烈推荐臭鳜鱼
【服务】服务周到
【等位】周六日生意很好"
KUm753626607,4.0,不错不错，相当不错哦！！！！！
NQw126712617,5.0,"【口味】毛血旺，口水鸡，葱油鸡好吃
【环境】环境不错，干净卫生
【服务】服务态度很好，服务员也挺好的
【等位】节假日很忙，要提前等位"
EDM133066635,5.0,菜品丰盛，川菜，湘菜口味正宗，每次都来，推荐臭鳜鱼，毛血旺，土钵鸡，面包诱惑
georgewade,2.0,服务态度很一般，味道也是一直中规中矩，环境还是可以的
DYF476112679,2.0,还不错吧，有的好吃有得不好吃，上菜速度也不慢。
UtO984082512,5.0,菜做的好吃   搭配也好   店里卫生很干净
MuI198514174,5.0,臭桂鱼火候掌握得很好，味道恰到好处。歪嘴虾肉质鲜美~ 鲜香、细嫩、爽滑、色泽诱人。环境优雅，值得选择！
起点的石头,4.0,菜量大，臭鳜鱼一如即往的好吃！毛血旺也不错！是过生日和聚会的好地方！经常去！
UZT578816358,5.0,服务非常好，卫生很干净。过生日还有舞蹈。家里人都非常开心。
UZT578816358,5.0,服务非常热情，烤鸭现场操作非常棒。 #宫保鸡丁# #毛血旺# #精品烤鸭#
PRn674354300,5.0,"不错不错味道好极了。
菜品摆盘装饰很好看。 #毛血旺# #蓝莓山药#"
Qwp461359233,4.0,味道不错，就是菜量有点少
rjT996410554,5.0,店内环境卫生干净，菜量足，味道好，员工服务到位，及时收理桌面垃圾，倒水，是家不错的餐饮店  棒棒哒，
THA180284764,1.0,我媳妇饭量特小。我就要了三个菜。一个红油板筋 一个爆三样（其中腰子骚的要死吃嘴里就觉得恶心）最气人的是要了一个馋嘴牛蛙刚点完菜  一分钟就做好了。刚开始以为上错了后来过了两分钟就又端上来了 也许有的人会看明白馋嘴牛蛙是怎么回事吧  我什么也没说。把顾客当傻子 希望这种事以后尽量少点。差评。。。
起点的石头,3.0,服务好，环境优美！不错的选择！
cuh414020901,5.0,"【口味】口味独到，味道不错
【环境】环境不错，卫生干净
【服务】服务周到，细致
【等位】周六日要排队"
WVQ574762430,3.0,团购优惠越来越少了菜品也比较贵了
PIb743381067,5.0,"【口味】好
【环境】棒
【服务】到位都挺好的 #宫保鸡丁# #烤鸭#"
nRo184404392,5.0,服务好，卫生干净，环境好，菜品味道特别棒！
flD185141459,5.0,很好
匿名用户,3.0,味道不错，环境好，服务员很负责任 #干锅鱿鱼# #糖醋里脊# #酱焖带鱼# #京酱肉丝#
霍军威,4.0,都不错，非常满意的一次聚餐
SophiaYYJ,4.0,最爱毛血旺
匿名用户,3.0,还可以吧，聚会首选，口味独特，服务态度很好
_qqns81378187037,5.0,味道不错，服务很好，生日每次都来这里吃，服务员专门帮忙布置了包间，感觉很棒！
PJD508049340,3.0,蒜蓉粉丝虾，小龙粉蒸肉，石锅菜花味道不错
匿名用户,1.0,"【口味】口味一般
【服务】服务态度很差
【环境】盘子上都是毛毛，并且碗上全都是油渍，第一次最后一次去"
pbZ608781799,3.0,经常去的一家餐馆，服务和菜品质量都依然如故。五公里之内，这个饭店是最好的了
KobeBryant丶24,4.0,好
chenpipi131108,3.0,环境不错，味道也还行。量挺足的。
DYF476112679,3.0,还不错吧，味道还行，上菜速度也不慢。
JBb636191380,4.0,上菜快，菜品品种丰富，大人孩子都能找到喜欢的，味道不错，回头客
区域,北京,餐饮类型,烧烤烤串,店铺id,1658880,店铺名称,一二三串吧烤鱼（管庄店）,经度,116.582211,纬度,39.913768
用户,星级,评论
