区域,北京,餐饮类型,小龙虾,店铺id,164492687,店铺名称,辣家私厨小龙虾烧烤·耍牛欢串串香（北苑旗舰店）,经度,116.42737,纬度,40.03713
用户,星级,评论
zzyq,2.0,冲着美团第一来的，结果服务和口味都很差，没什么人，上菜还很慢。炖鱼全靠鱼本身的味道撑着，酱难吃！香椿拌豆腐几乎没有香椿。不知道怎么上的排行榜第一，如果美团继续这样，估计和莆田系差不多了，以后只能看大众点评了
anfuping,1.0,严重差评，估计是不想干了吧，柴鸡根本不是柴鸡，这也是水果拼盘，隔夜的苹果，大家不要上当，严重欺骗。
九王爷a,5.0,环境好，菜量足，味道不错，鱼新鲜，没有土腥味，价格实惠。
旋转木马128,5.0,看了大众点评推荐来的，鱼的味道果然鲜美！很鲜嫩！炖豆腐特别入味，三个人吃光光了
_qqcht1400384330,5.0,朋友推荐这家的灶台鱼，团购了个套餐，三人吃正好，特别划算。鱼的味道很赞鲜嫩正好入口即化，很棒的体验，值得推荐
zhangli0708,5.0,一家三口去密云，吃的最爽的一顿，好吃不贵。老板娘很好客。院子很大，停车也方便。
用户,星级,评论
RSE103504847,5.0,鱼头味道很正宗，配菜也很新鲜，绿色叶菜是老板院里自家种的。老板娘人不错超热情，让去菜地自己拔菜带走。总之出来玩的高兴，吃的超也美味，带着新鲜的蔬菜心情美美哒返程了。下次重游一定会再来光顾的，祝老板生意兴隆！
匿名用户,5.0,「#套餐：2-3 人柴锅灶台胖头鱼」「#炸虾」锅底选的微辣的，很好吃很下饭，鲤鱼新鲜肉质绵密。大家吃的很开心，老板人很热情，很实在
_qqcht1400384330,5.0,密云水库旁边，第二次来了，周末带着家人来吃水库鱼，服务超级热情，鱼个大新鲜鲜香入味，一家人点了只8斤的胖头孩子超爱吃，下次周末溜达还来这里
197海,3.0,在渔街里，好多吃鱼的餐馆，这间只是其中之一。上菜速度不快，等了好久，没人收拾桌子。点餐时说套餐券可以用，菜没上齐又说不让用，搞的像是占多大便宜似的。像这种情况应该提前告知，我好选择在哪家餐馆就餐。鱼熟的挺快。不太愉快的就餐。
zzyq,2.0,冲着美团第一来的，结果服务和口味都很差，没什么人，上菜还很慢。炖鱼全靠鱼本身的味道撑着，酱难吃！香椿拌豆腐几乎没有香椿。不知道怎么上的排行榜第一，如果美团继续这样，估计和莆田系差不多了，以后只能看大众点评了
anfuping,1.0,严重差评，估计是不想干了吧，柴鸡根本不是柴鸡，这也是水果拼盘，隔夜的苹果，大家不要上当，严重欺骗。
九王爷a,5.0,环境好，菜量足，味道不错，鱼新鲜，没有土腥味，价格实惠。
旋转木马128,5.0,看了大众点评推荐来的，鱼的味道果然鲜美！很鲜嫩！炖豆腐特别入味，三个人吃光光了
_qqcht1400384330,5.0,朋友推荐这家的灶台鱼，团购了个套餐，三人吃正好，特别划算。鱼的味道很赞鲜嫩正好入口即化，很棒的体验，值得推荐
zhangli0708,5.0,一家三口去密云，吃的最爽的一顿，好吃不贵。老板娘很好客。院子很大，停车也方便。
用户,星级,评论
RSE103504847,5.0,鱼头味道很正宗，配菜也很新鲜，绿色叶菜是老板院里自家种的。老板娘人不错超热情，让去菜地自己拔菜带走。总之出来玩的高兴，吃的超也美味，带着新鲜的蔬菜心情美美哒返程了。下次重游一定会再来光顾的，祝老板生意兴隆！
匿名用户,5.0,「#套餐：2-3 人柴锅灶台胖头鱼」「#炸虾」锅底选的微辣的，很好吃很下饭，鲤鱼新鲜肉质绵密。大家吃的很开心，老板人很热情，很实在
_qqcht1400384330,5.0,密云水库旁边，第二次来了，周末带着家人来吃水库鱼，服务超级热情，鱼个大新鲜鲜香入味，一家人点了只8斤的胖头孩子超爱吃，下次周末溜达还来这里
197海,3.0,在渔街里，好多吃鱼的餐馆，这间只是其中之一。上菜速度不快，等了好久，没人收拾桌子。点餐时说套餐券可以用，菜没上齐又说不让用，搞的像是占多大便宜似的。像这种情况应该提前告知，我好选择在哪家餐馆就餐。鱼熟的挺快。不太愉快的就餐。
zzyq,2.0,冲着美团第一来的，结果服务和口味都很差，没什么人，上菜还很慢。炖鱼全靠鱼本身的味道撑着，酱难吃！香椿拌豆腐几乎没有香椿。不知道怎么上的排行榜第一，如果美团继续这样，估计和莆田系差不多了，以后只能看大众点评了
anfuping,1.0,严重差评，估计是不想干了吧，柴鸡根本不是柴鸡，这也是水果拼盘，隔夜的苹果，大家不要上当，严重欺骗。
九王爷a,5.0,环境好，菜量足，味道不错，鱼新鲜，没有土腥味，价格实惠。
旋转木马128,5.0,看了大众点评推荐来的，鱼的味道果然鲜美！很鲜嫩！炖豆腐特别入味，三个人吃光光了
_qqcht1400384330,5.0,朋友推荐这家的灶台鱼，团购了个套餐，三人吃正好，特别划算。鱼的味道很赞鲜嫩正好入口即化，很棒的体验，值得推荐
zhangli0708,5.0,一家三口去密云，吃的最爽的一顿，好吃不贵。老板娘很好客。院子很大，停车也方便。
