区域,北京,餐饮类型,火锅,店铺id,264019,店铺名称,东来顺饭庄（三里河店）,经度,116.346527,纬度,39.911789
用户,星级,评论
吴运意,4.0,"接了来北京玩儿的同学，想了很久还是觉得得吃一下北京特色的菜。对东来顺印象一直都很不错，这一家也非常喜欢。
先说说地方~地方不难找，复兴路走下来过个商场就到啦！招牌也挺大的很醒目。
再说说菜品~美团上买的券，菜品就有很多，四个男生都吃不完，但提醒的是买券要提前两小时买~肥牛还是挺新鲜的，鱼丸也特别好评~
最后说服务~东来顺的服务态度一直都挺好的，主动加汤换新餐具什么的不提了，关键是说话都是笑着的，用餐体验还挺舒服的。
成功打卡！"
nbu583914519,1.0,味道不错，但服务就真的无语了，那些服务员一个个的很牛逼的样子，搞得像欠他们钱似的，而且团购的菜份量也少
匿名用户,3.0,很好，还不错吧，还是值得推荐的
匿名用户,2.0,把老字号的招牌都毀了，第一次吃涮肉香菜里都有冰渣，肉的品质也不好
FSQ898914134,1.0,不咋地，服务态度差。千万不要美团去，要去还是直接去了点。
SpR968663232,3.0,味道还可以，服务一般，环境一般
mDr941654397,4.0,菜品口味正宗，火锅吃起来气氛很好。
angelwingliw,5.0,不错的地方，下次还会和同事一起来
永相随2011,5.0,真心觉得吃的最好吃的火锅，还是喜欢原滋原味的老北京火锅。上菜速度快，服务员比较热清，尤其5号服务员小美女又漂亮又热情。总之用餐很愉快。饭量略有富裕刚刚好。
rSg270067532,1.0,我真觉得是假东来顺  如果我味觉没问题得话 麻酱的味道绝对不是这家店这种味 就是特别喜欢吃东来顺的麻酱蘸料 结果这家店真的很奇怪。只是说了一句实话而已
匿名用户,4.0,好
WwH251985551,5.0,"家庭聚会的聚点儿了，哈哈😄
肉质细腻，环境不错，服务态度超好"
牛气冲天407,5.0,百年老店，值得一去。服务一流，口味大赞。
Flo742038132,3.0,菜品还可以，味道不错，就是要等两小时就差了
whw1369,3.0,买套餐合算一些！买套餐合算一些！
Raf511588135,1.0,里面有个服务员让我非常不开心，服务超级差，事情是这样的（我说:服务员你好，请给我加个蘸料，服务员说好，随后转头就拿起汤壶去那边几个桌给其他客人加汤了，加完汤才给我拿来蘸料，加汤的那几桌客人也没要求你去加汤啊！）为什么这样对待客户呢，让我一晚上不开心，这种服务员不要用了，这种服务员会破坏百年老店的名声！黑色衣服，只能看到背面的这个。
TTG551897620,1.0,服务和质量都很差，这是第一次去，也是最后一次了！
Zif792692923,4.0,老式火锅，味道还行
第五215,4.0,菜品口味好，服务周到，价位合适。
匿名用户,3.0,味道还可以，服务也很热情，团的券价格比较实惠，要提前美团上买好券
fnc443126980,3.0,肉有些老，菜量是挺大的，几乎吃不完。去吃的时候有个男服务员在端着火锅和顾客吵架，不肯让一步的样子，我特别怕那个顾客盛怒之下会打翻火锅，员工素质有待提升。
vangerniste,2.0,肉太一般，图个氛围。简单吃点行
caoxinhu2384,5.0,味道不错，分量足，服务小哥热情周到，很赞
wmx81510,3.0,太贵了!味道挺好，贵!贵!量也不大!
匿名用户,3.0,价格优惠，肉好吃不过感觉没什么特色，味道感觉只有咸味，而且团购的素菜都是点豆制品不想再吃第二次了，
ivF320439758,1.0,服务超级差，上菜超级慢，之前去过的东来顺没不这样呀，估计这次我是去了个假店吧……
匿名用户,4.0,挺好的，没有网上说的服务慢的问题。吃不完！有点浪费！
匿名用户,5.0,挺好的啊，我感觉还是不错的！！！
psg560762625,2.0,环境不好，送的酸梅汤变成了雪碧，小料单加一碗八块，菜品也就那样吧，感觉别的新生代火锅在进步，而这种老字号停滞不前，毫无新意。
zzhg111,5.0,还行
GcX554375008,4.0,来北京旅游，怎滴也得去东来顺火锅吃一顿，三里河店。不错，没有传说中排队等待，三个人团购了一份四人餐，没吃完，值得去的地方。
匿名用户,2.0,严重怀疑不是东来顺，肉品，蘸料尤其是麻酱根本都不正宗，奔东来顺的字号而来，失望而归
匿名用户,1.0,服务特别不好，关键是写的是酸梅汤结果给了两瓶雪碧，说去年就改了，网站上没改，我说那换成可乐，服务员说不给换，而且服务混乱东推西，西推东的，对这个团购特别的不清楚，非常不好的客户体验
Vcc287899058,1.0,服务太垃圾了，还给乱上菜。美团他们不欢迎。不欢迎，干嘛在美团上卖呢？酒店里乱七八糟，服务太差。
_qq6kx1405645247,3.0,味道还不错，就是传统的铜锅涮肉，团购限制很多，一共去了三次才吃上，对时间要求很严格，第一次去了好不容易抬着婴儿车进了店，告诉我们时间不行，一点儿都没有通融哦
mangmangxue,4.0,火锅团购，菜量很多
Vcc287899058,1.0,没话说了，太垃圾，太垃圾。主要是服务太差太差，特别是前台的女的。
StA939015720,3.0,还不错菜的量非常的大我们吃的很饱
JTR331975576,5.0,挺不错额，离家很近，肉也还可以，关键是碳锅火锅很喜欢 #烧饼# #杂面#
wenhuass_1986,5.0,服务态度好 点赞 味道也不错 满意 老北京特色
LhY905549998,3.0,爸爸一定要吃正宗的东来顺涮肉，很满意
乐在其中016,2.0,这里的一次性杯子很不干净，一次性筷子打开后很黏，涮的肉感觉不太新鲜出好多沫子(可能是团购的原因)吃过那么多家东来顺，就这家感觉不太好，带外地朋友来吃感觉很没有面子，他们说还没有他们在小的地方肉新鲜，吃饭一个多小时光往外弄沫子了。
sxu7172,3.0,团的券三个人吃的四个人的量，还可以吧
HjZ524870864,5.0,服务好，7个人吃足够了，味道也不错
DMQ946223631,3.0,量挺大的，就是我们团的这个套餐好像都是实在的定饱的东西和老公孩子都没吃完
kEU437612569,4.0,还不错吧，地铁倒了好几站，但到了不用排队，肉还可以，至于丸子一类就很一般了，豆筋儿什么的好吃。我们4个大人，两个孩子，吃的很撑，不远处还有超市，买了直接打车回去比较方便，蘸料好吃，尤其是辣椒油，特别香，但是套餐里面没有糖蒜，韭菜花，豆腐乳。服务也就一般了，上菜结束后就没再见到服务员，美团劵必须2小时之前订。
dlm10085,4.0,肉不错，服务也不错！小料有改进，不像以前那么咸了
淡淡的怒放,4.0,去北京玩的时候订的，当时还不知道路，找了好久，终于吃到老北京火锅了了，也不白来这一趟了。。。
Mad394855983,5.0,服务周到，吃得也比较合适。推荐
匿名用户,2.0,真是不咋样，38块蔬菜拼盘竟然只有五六根菠菜叶，五六根茼蒿，两三片白菜
匿名用户,4.0,第一次来，羊肉不是很好，牛肉还行。服务态度很好。酸梅汤好喝。交通便利内部环境好，装修很有民族特色，餐具，食品很干净。不足之处是个人觉的消费略高，再便宜点就更好了。总体来说值得推荐。下次来北京时还会光顾的。 #墨鱼丸# #涮肉# #东来顺羊肉片# #爆肚#
匿名用户,1.0,感觉碰到假的东来顺了，就餐环境差，味道不是那个味道！
月亮湖的砍柴人,2.0,提前两个小时预订。味道还不错！服务真心一般…
TUq520804291,3.0,服务好分量租，吃的不错望常常开展活动，多给顾客实惠
磊好实业创始人,1.0,服务，实在是太一般了。现在老字号也就剩个字号了！！！
dUh562075461,5.0,还不错吧
RTy955080694,3.0,挺好的，小哥很热情，上菜速度也很快，带孩子的，三人怕双人餐吃不饱，团的是四人餐，吃到撑
vxZ981503802,3.0,家门口，方便。味道比聚宝源差一点。
vangerniste,3.0,肉很一般，真的很一般。但服务不错，环境也挺好，两人餐俩男的刚好吃完。总体印象不错，不像评论里说的那么差。
gno607425182,1.0,加盟店真不灵，以后不去了，个人意见，仅供参考。
lt252329300,2.0,味道一般，东西挺实惠，就是服务一般，老是不见人影
匿名用户,4.0,味道还不错，值得再去，位置也好找，停车也方便。
匿名用户,2.0,没有什么特别，就是一般的饭店而已
匿名用户,2.0,口味一般服务一般，对美团不上心。
xZF494687096,4.0,挺好的，老字号，团购很实惠。
cpc2508667567,4.0,很好吃
vLz661583647,4.0,量很足。味道不错。。。
www588581598,1.0,一点都不好，最主要是不好吃，有点砸京城老字号的牌匾
匿名用户,3.0,服务还可以就是好多东西都要收费
匿名用户,1.0,菜都不新鲜了。肉也不好吃。服务员好像都是农民工一样
硕宽,4.0,很好   六个人吃得扶墙而出
fLP992093480,4.0,我们团购去的  还挺合适的  服务态度还行  就是收拾桌子的时候盘碗的声音太大影响我们交谈
我向苍穹,4.0,上菜挺快，服务员大姐挺实在。需要提前两个小时下单
匿名用户,1.0,服务很差，可能是因为团购的吧，七个人团的8人餐不够又加餐了，一盘牛肉200多，真心贵，人均就是100多了，全程除了上菜，都没有服务员，连加汤也是自己动手，在北京这家的服务态度真是最差的了，以后不会去了………
Z1414867519,3.0,还可以不错挺好的！两人吃正好！大家快来享用吧！
guqiong33,1.0,套餐，虽然没吃完，但是味道差，没味道了
jia18816076789,3.0,还不错，位置不太好找，很好吃很好吃
VOq308950466,5.0,挺好的
aiowenx,2.0,这是我吃过的最差劲的东来顺，一帮东北服务员，服务很粗
cbx304156054,3.0,"感觉还可以
味道还不错下次还要去"
匿名用户,3.0,吃不惯北方的麻将，感觉没有南方锅底的醇厚
tLI284173367,1.0,6到8人餐4个人不够吃。明显比现场点的量少
匿名用户,3.0,团购的，价格还可以，两个女生没吃完，送的面条就没有动过，但是去的那天有客人跟店家出矛盾了，碗可能有东西没弄干净
OyL837471886,4.0,服务没有想象中那么好也没那么差，价格可以
puH745720196,4.0,还不错，环境好，相对实惠。
zhangweina1974,3.0,很失望！精品肥牛，肥瘦相间的，但是肉眼看起来很奇怪的。用筷子一夹，肥瘦自动分离！！！如果暂时没分离，放到火锅里立刻分离。！！！这是东来顺干的事吗？？为什么分离，大家可以百度一下为什么？？
匿名用户,1.0,团的菜不新鲜！第二天好拉肚子！
殇593,3.0,还可以！不错！除了服务员不热情，服务员懒的搭理我们之外，菜还是可以的，20点去的，人少，总体感觉还不错！
小月蓉22,5.0,第一个到的！同事和儿子正好四人。羊肉和蔬菜量多份足。主要是沾碟不收钱，值得再去光顾！
芷汀兰,5.0,味道可以，就是团购的里边那个素锦实在太难吃，店里有一股小怪味
匿名用户,1.0,服务员态度差，美团的卷必须提前两个小时使用，不人性化，完全可以先上菜，边吃边等，给看美团的消费记录也不行，死等。肉一般，比想象的东来顺差远了，128元两人餐，实在没什么吃头。
傻瓜亲儿,5.0,不到11点就到了店里，没到饭点，人不多，锅和肉上的都挺快的。没有不愉快的经历。两位老人吃的也挺高兴的。4人餐正好吃完。
rFv770999438,5.0,味道一般，还要提前两个小时预定，不到两个小时就不能上菜
gaoqigaoqi8888,5.0,服务和菜品都很满意
oWS973310629,3.0,地点偏远，口味一般。不是很合口
Crn110065339,3.0,肉量太少，其他还可以，服务还可以。
匿名用户,5.0,3个人吃，太饱了，吃不下，还多了许多
奶茶不加丝袜,3.0,味道还不错，分量也很足，四个大人一个小孩都吃不完。不足之处跟其他人所评论的一样，美团上下了单他就是非得等过了整的两小时才给你上菜，即使你已经到店里坐着等，也一分钟都不能提前给你。而且服务员明显的对待美团的顾客态度不咋滴，刚进去还挺热情，一说是美团就爱理不理的样子，餐具也马上撤下独立包装好的那种，直接换成那种散装的。这一点让人很不舒服！
Rumeng66,5.0,推荐，实惠又好吃
eds802675452,5.0,菜品都没吃了，秘制的调料拌上葱花和其它什么的味道很好吃。美中不足的是羊肉太少了，可能是美团的缘故。
AoM94306221,3.0,一个女的服务态度很差，不会去第二次
匿名用户,5.0,味道正宗，团购的，但是带我们在包厢消费，商家服务态度好，店铺装修中，希望越来越好！ #桂花酸梅汤# #羊肉# #羊肉片# #传统羊肉# #东来顺小肥羊# #牛羊双拼# #芝麻酱# #杂面#
匿名用户,4.0,环境不错，中午来的，就餐人数不多，团购非要等够下单后两小时，差一分一秒都矫情。
深浅518,5.0,量很大很多，肉和豆腐都好吃😊，都吃完了。丸子没吃完，面条也没有吃完。北京的老字号，值得一吃。
zhangweina1974,5.0,还行！团购四人餐，五个人没吃完。挺实惠
pAj849368817,5.0,味道不错，要看清提前2小时订，不然去了吃不到。
匿名用户,2.0,一般般吧 鱼丸就是市场买的最便宜那种
OFD879588071,5.0,味道不错，就是美团订的必须要提前2小时，太不人性化了
dDC576141051,3.0,上菜慢，肉不新鲜，面不劲道，服务一般，环境还可以
LYu971289030,3.0,菜品一般，环境一般，店内有气味！
感恩的心jt,3.0,太脏了，服务员态度也很不好，没有人管理。砸老字号的品牌，
炎炎0878,5.0,需提前两个小时下单，不是随买随用，
CKA796792648,5.0,环境不错，很好找，空调很凉，菜品上的很快，给商家提个意见，别把菜品都是豆腐大餐，换掉点别的。
Xll822807096,1.0,服务差，太他妈坑爹了，看我们是外地的，服务员爱理不理，酸梅汤按一次性餐具杯收费。
匿名用户,3.0,要提前两小时购券，这家可能是连锁店，感觉一般，服务跟不上。
Kpl601406680,3.0,味道也不像说的那麼好，而且服务态度很差，美团这麼多年，第一次给的差评
xKK312383850,4.0,拥挤，菜品一般
匿名用户,5.0,食材还可以，味道还不错，分量够大，好评！
AlS231566038,2.0,和其它东来顺店相比感觉象是山寨的，服务和菜品都明显差的多，中关村店比这里好太多
匿名用户,5.0,整体感觉很好，五星好评，肉类和蔬菜分量都很足，食材也新鲜，就餐环境干净卫生上档次。希望能够提供备选方案，如5个菜品选4个，7菜品选4个等等，这样更多样化，方便顾客挑选自己喜欢的食物。
墨墨x,3.0,过年的时候去吃，东西都是年前提前备下的，难免有些不太好，感觉没平时的吃着好吃，分量一般般 #羊上脑#
jbe322544170,3.0,比想象中差太多，不会再去第二次了
coco071812,5.0,菜品味道很好
飞雪88888888,4.0,上菜速度快，菜品不错，稍贵。
cindyzhang123,4.0,去了好多次了。以后还会去的。最喜欢吃东来顺的羊肉了。
lwhjxdx,4.0,难得在这么宝贵的二环内还能体验到这种方式的火锅，量比较足，但是服务员稍微欠点热情
紫色精灵349,2.0,这个团购的羊肉一般。而且其他蔬菜不多，还好够吃。
FKA328416010,4.0,肉很好吃，就是锅底味道不太好！
苏苏爱自己,3.0,服务不咋样，味道一般，只能说说还可以 量足
nzZ628023863,1.0,左是美团，右边是在店里正常点的餐。美团的量还很少。你们自己看着办。店大就🐮呗
匿名用户,2.0,味道还行，环境一般。麻酱味重。也许是个人口味的缘故。服务员态度很不好。做的就是服务行业，为什么服务不能好点
Qdf254304498,5.0,挺好的，份量不足，便宜，但是二个人可以
茶茶905,4.0,口感好，稍微有点咸
嘻嘻1019,5.0,哈可以，第二次。
番号531,2.0,一般吧，服务员服务太差，跟她说话都听不见，还要大声喊才行
kiss懒喵,4.0,一般，服务跟不上，环境也是普通的再不能普通，老牌子并没有想象的那么好，唯一值得一提的就是肉还不错
文明的老虎,3.0,味道一般。鱼丸没鱼。环境不错。
YZQyzq134,5.0,菜品口味不错，名声在那摆着呢，错不了，虽然和上次去有点不一样，也可以吃的挺饱，服务态度和菜品正好一鲜明对比。
匿名用户,5.0,服务人员态度一般，收拾桌子各种摔真心影响心情
z陆宇,5.0,来北京旅游的，很满意这一顿老北京的味道
TET冰桃,5.0,不错，挺好吃的，美团也实惠！
pGH448415519,5.0,这是加盟的还是直营店，感觉性价比很高，还不错，吃撑了
OJr960655274,3.0,一般 肉不咋好 太一般了 可能北京都这样吧
gMy373278817,2.0,口味一般，肉很不新鲜，不如其他店
小泥巴子1,3.0,肉还不错，就是麻酱真的好咸啊，破坏了涮肉的味道啊，真的好咸好咸，特别咸，得一直喝水。。。。
pFk554941382,2.0,套餐的肉一份没标出份量，肉只有几片。上菜特慢，服务差。用完的餐具和纸屑垃圾堆在整理筐里，就在餐桌旁边。
ThL182244320,4.0,服务很好！
张莉红563,5.0,好吃点很，超赞
粉水晶晶,5.0,物美价廉，很好吃，就是人多，得等位。
JTR331975576,5.0,味道不错，很久没有吃老北京的碳火火锅了，爸妈一个劲的夸满意！儿子也爱吃，以后会常来的！ #烤羊肉串# #杂面# #特制羊上脑# #特级精品肥牛#
爱雨萱～,5.0,还不错，味道也很好
GWJ848595673,1.0,三里河的东来顺肯定不正宗，菜品质量特别差，用的不是食品材料吧？简直没法入口，商家心太黑了！
护林员（黎泽林）,2.0,一般，也就够3到4个人吃吧，环境不是太好。
sSx557010193,3.0,感觉不如双井那边的东来顺实惠，环境一般
张宝宝0211,4.0,跟前也就这家店了，其他地方没有符合口味的
gaofeng_leo,1.0,态度非常一般，环境也不咋样，很差的体验！
ggJ397602188,5.0,老字号食材有保证。量也不少。
jiakun1976,5.0,味道非常好，服务也不错，菜量很足，吃的很开心！
匿名用户,3.0,味道一般，比较贵不好吃不好吃不好吃
pYR544694118,1.0,非常差的体验，服务很差，发票也不给开。给一颗星都多了。
匿名用户,4.0,环境一般，菜品还行，给了一盘豆制品都吃不了
wanfangfeng,5.0,量真的很大，味道也很好，就是辣汤添多了会流到清汤那头
匿名用户,5.0,好，人不多，吃的还可以。老字号，下回还会去。
北青吴,5.0,已经来过好几次了，口味一直都是地道的老北京味道，很喜欢，以后还会在来的！团购的是两个人，量挺大，吃完还有剩余。
tzO325734009,5.0,服务员非常热情，不愧是正宗的，味道绝对值得一赞。美团订的太实惠了。
shaoyanqingabc,1.0,环境还行！清汤底汤竟然是自来水！虽然是团的有所准备，但没想到如此只差！调料少，只有芝麻酱！单点一个香酥鸡，居然上来的是凉的！知名餐饮这种水平，让人匪夷所思！
xiangfan0622,5.0,老妈和老弟去北京旅游帮忙团购的128双人套餐，东来顺是老店了，吃起来反映都不错，好评了，下次有机会一定要再光顾
Songxy1988,5.0,三个大人一个孩子没有吃完，可惜了，挺好吃的，环境也不错
匿名用户,5.0,性价比高，味道还可以，总体好评
wmd407613687,5.0,感觉满实惠的
Fqn120669349,1.0,服务员服务态度不好，上菜太慢，
umK318370883,2.0,味道没有上次吃的好，环境一般，服务不好也不坏。
张晗696,3.0,味道一般，可能是南方人吃不惯北方口味吧，菜材料还可以
tunff,5.0,味道还可以，量很足，六人吃不完！
OoH693047792,5.0,经济实惠，味道鲜美，传统老店。 #涮肉# #羊上脑# #烤羊肉串#
故人芷草,5.0,外地来北京旅游的，听说东来顺涮羊肉很正宗，尝了尝感觉还是挺不错的，麻酱真的很香，就是吃不太习惯，吃多了腻，分量很多，三个人吃的
聆风徐行,5.0,这次去改变了上次的不良印象，那天是遇到不良服务员了
jxt1983,4.0,一如既往的好，每次来北京必吃，比团购，总之味道就是香
zbqqqq,3.0,一般吧。。
RLN391970667,5.0,纯正地道的涮羊肉，美团实惠的二人餐，吃涮锅就这儿啦！
eKu796421186,4.0,第一次去吃，口味总的来说还行，只是没达到预期。
hijustina,5.0,量太足啦，4个人没吃完！味道也很好。大冬天吃火锅很满足！ #羊上脑# #蔬菜大拼盘# #豆腐# #东来顺羊肉片# #手工面条# #老豆腐# #鸳鸯锅#
sunnybaby226,5.0,味道一般般，还没有外地的东来顺好吃，每家店都不太一样
匿名用户,5.0,口味很好吃很好吃，分量很足，服务态度很好，吃的爽歪歪！very good！十个赞👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍！ #涮肉# #羊肉片# #牛羊双拼# #东来顺小肥羊# #羊上脑# #特制羊上脑# #丸子# #蔬菜拼盘# #极品羔羊肉#
zLO803030383,5.0,毎次来北京必须吃东来顺，肉嫰、环境好、卫生、价格实惠、店长很好。
jlS781813506,4.0,菜品不错，麻将非常好。东来顺就是吃麻将
