店铺名称,店铺id
福缘居酒楼,l8uNm5kgLP4n6eLq
userName,userID,startShop,describeShop,loveFood,pinglunTime,pinglun
月下独酌,http://www.dianping.com/member/764843897,5,口味：0.5 环境：3.5 服务：5.0 性价比：0.5 人均：90元,,2020-12-31 20:44,感觉很少吃到这么难吃的店。反正我个人觉得是真的难吃，虽然店生意很好，可能是我口味不对吧。点了四个菜都不怎么样蛋黄南瓜可以吃，但我吃过更好吃的。然后那个腐皮上汤的，我觉得很咸皮蛋的话还可以那个一大盘的西湖醋鱼，我的天哪很酸，然后鱼又很腥真的绝了	
跶跶点达人,http://www.dianping.com/member/1159212721,25,口味：2.5 环境：2.5 服务：3.0 性价比：1.5,,2020-12-31 20:28,冲着必吃榜去的，然而彻底的失望，采雷了，去的时候一点多还排队，说说：（服务）从进门开始就没人理的，就连位子都是要自己找，而且就餐连茶水也沒有！（环境）拥挤，非常的吵，连桌子都是并在一起的，（口味）招牌脆皮大肠，味道还行，不是很脆，但是份量太少，腌笃鲜：里面放了咸肉炖的味道还好不咸，笋也比较脆，这两个菜还可以，其他几个菜就难吃了，而且米饭还是半生不熟的，不推荐！	
第皮埃斯,http://www.dianping.com/member/113778744,50,口味：5.0 环境：4.0 服务：4.5 性价比：5.0,喜欢的菜： 酱肉冬笋蒸素鸡 脆皮大肠,2020-12-31 19:57,我对福缘居真的爱得深沉，每次有朋友来杭州就会安利脆皮大肠。性价比很高，环境比较一般。「脆皮大肠」推荐！走过路过，千万不能错过的一道菜，真的好吃还不腻。「油淋鸡」也是每次都会点的菜，但感觉没有以前好吃，鸡肉没什么味道，还有点油，肉质也没有很嫩，略失望。海蜇皮平平无奇，就是一道发挥正常、清爽的凉菜。「腊肉蒸笋干素鸡」强烈安利！这次最大的惊喜，下面的素鸡吸满肉汁之后，可太好吃了，笋的加入中和和油腻感，点睛之笔。	
chu_qq,http://www.dianping.com/member/42391215,45,口味：5.0 环境：4.0 服务：4.0 性价比：4.5 人均：90元,喜欢的菜： 脆皮大肠 油淋鸡 干炸臭豆腐,2020-12-31 19:38,强烈推荐的一家老字号！！位置不是很好找，在一条小巷子里，工作日中午来的，还是有很多人在吃，点了招牌的几道菜，脆皮大肠、油淋鸡、臭豆腐非常好吃，必点糯米藕、爆炒腰花、醉虾、马蹄芦笋，也是比较常规的味道，醉虾比较清爽，调配的酱汁吃起来很熟悉，圆子羹很大碗，四个人硬是没喝完非常好吃的老字号，爱了！	
开心宝贝儿_4914,http://www.dianping.com/member/845717776,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2020-12-31 19:17,[薄荷]环境：是一家比较老的杭帮菜的，店头不惊艳但却很多人慕名前往。[服务铃]服务：服务态度还可以吧。「脆皮大肠」还挺好吃的，蘸番茄酱也是不错的「油淋鸡」味道一个字，绝「蛋黄南瓜」还不错哦「干炸响铃」里面没有料有点单调啦	
George.7777,http://www.dianping.com/member/61289630,45,口味：5.0 环境：4.0 服务：5.0 性价比：4.5,,2020-12-31 18:53,估计这是杭州翻台率最高的一家店吧！5:30到店，前面己吃完，打扫干净后，我们5:40上桌开吃。期间到我们吃完7:20分，边上己挽了三桌人，即40第四桌了。疫情期这么好的生意让多少歺饮从业者羡慕嫉妒恨啊....菜品：脆皮大肠，好像边上每桌都点了，干净入味。拌臭豆腐，酸酸的，好吃。鳝段，入味不腥。醉虾，好吃。虾油拼盘，个人觉得门腔好吃。总体来说，每样菜都不失水准！环境：一般，有点挤，卫生间味重。下次还要去吃，只是订位不易。	
这里是Tiki酱,http://www.dianping.com/member/771214452,45,口味：4.5 环境：4.0 服务：4.5 性价比：4.5,喜欢的菜： 脆皮大肠 醉虾,2020-12-31 13:46,杭州必吃榜打卡～大众点评上挑的这家店，因为现在醉虾已经很少看到的，小时候吃过之后就淡出大家的视线。就想带着没吃过的朋友去尝一下！醉虾是好吃的，很鲜，酱料也弄的不错！推荐！脆皮大肠，我觉得比其他家的要好吃一些，如果想尝试的话可以尝尝看他们家的。醋鱼不推荐，味道很腥不入味，看来想吃到性价比高又好吃的醋鱼还是很难。	
dodo,http://www.dianping.com/member/1282484741,45,口味：4.5 环境：4.5 服务：4.5 性价比：4.5,,2020-12-30 21:46,[薄荷]环境：首先，离地铁站超近，超方便，对于这种老字号又比较火爆的店来说，我本来以为会一如既往的排很久很久队又挤位置又都很小，但是到了以后直接说拼桌不排队，然后就坐的大圆桌，后面拼桌的离开啦就直接独享圆桌了哈哈哈。「脆皮大肠」脆皮大肠太惊喜了，外酥里脆，沾着汤汁儿也完全不腻，吃到最后几乎空盘。「家常豆腐」有点麻婆豆腐的意思，但是里面又加了笋和干虾，更符合江浙一带鲜香的感觉~「爆炒腰花」不吃腰花的我最近吃杭州的爆炒腰花都要爱上了，完全没有任何怪味儿，非常推荐。「蛋黄南瓜」就是略略失望的一道菜了，没有什么味道，南瓜味儿和蛋黄味儿都是，不太充足。没有踩雷的一家网红餐厅！结束了杭州之行～	
from.1999_,http://www.dianping.com/member/1574295265,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,,2020-12-30 18:07,六点多去的大概排队了一个小时左右具体不太清楚了！人蛮多但是可以拼桌「脆皮大肠」好吃他们家的招牌🏻不腻有蘸酱「西湖牛肉羹」清淡他们家自制的酒不错蛮好喝的我一个人喝了两瓶哈哈哈哈哈味道都挺好的看个人喜欢主要	
陈冬沫,http://www.dianping.com/member/774176996,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0,,2020-12-30 16:57,人多，排队，一家杭帮菜菜馆变成了网红店，我只能这么说网络好强大。口味普普通通。	
匿名用户,匿名用户,45,口味：4.5 环境：4.5 服务：4.0 性价比：4.0 人均：160元,喜欢的菜： 脆皮大肠 油淋鸡 干炸臭豆腐 糖醋里脊,2020-12-30 12:19,常年排队的老字号，下午4.30营业，4点就到了排队。醉虾，甜甜辣辣的口味，3两起点，挺好吃。脆皮大肠，油淋鸡，必点的两道菜，鸡肉都是比较好的部位，口味也不会很咸，大肠油圈挺厚，很有咬劲，略微脆香口感。糖醋里脊，10多元的价格很亲民了。马蹄芦笋，清淡口味，很浙江菜系。炸臭豆腐，略咸略臭，喜欢这口的应该喜欢。	
大关一枝花,http://www.dianping.com/member/1032825902,50,口味：5.0 环境：4.0 服务：4.5 性价比：5.0,喜欢的菜： 油淋鸡 爆双脆,2020-12-30 10:53,老杭州带我吃的地道杭州菜！！无愧必吃榜，开了几十年的老饭店，味道超绝，排队超多，我们三组人拼了一个大圆桌共同用餐。爆炸推荐No1🥇：「爆双脆」腰花和墨鱼花的神奇组合，爆腰花超脆爽，爆墨鱼花肉超嫩，满是油脂，入口惊叹真是停不下来！爆炸推荐No2🥈:「油淋鸡」皮是脆脆的，鸡肉无敌滑嫩，酱汁好入味，吃鸡达人必爱！推荐No3🥉:「东坡肉(块)」哈哈哈哈哈肥而不腻，入口即化，吃完肉再酱汁拌上米饭，热量爆炸的快乐！「虾油拼盘」牛舌猪肚鸡肉三拼，有一股特殊的味道，爱的人会超级喜欢吃，不适应的可能吃不太来。我就觉得还好吧，不功不过。避雷💣：「酱爆牛蛙」唯一一个我点的菜好难吃哈哈哈，一股子酱料味。	
匿名用户,匿名用户,50,口味：4.5 环境：5.0 服务：4.5 性价比：4.0,,2020-12-30 10:38,必吃榜上的来尝尝排队排队排队来晚一步就得排一小时以上总体上偏咸感觉	
iyor,http://www.dianping.com/member/837534084,45,口味：4.5 环境：4.0 服务：4.0 性价比：4.5,,2020-12-30 10:03,心心念念的脆皮大肠到口了！！！谢谢B站大佬章鱼飞的推荐，有点酥脆好吃。但是这个位置真的感觉咦？好东西在巷子里，真的是酒香不怕巷子深，油淋鸡好吃，但是吃多了有点腻，臭豆腐是绍兴口味，对头！第一次尝试宋嫂鱼羹感觉针不错还有可可爱爱的八宝油条，然后我认认真真数了一下好像只有6宝，可能是夸张手法，总体还是推荐的	
匿名用户,匿名用户,15,口味：1.5 环境：1.5 服务：0.5 性价比：1.5 人均：122元,喜欢的菜： 脆皮大肠,2020-12-30 08:47,朋友来杭州玩自己找的店，说是必吃榜上的店，但说实话，吃完让我们这个东道主极其尴尬[服务铃]服务：网红店大概被惯的不行不行了吧冬天到店，热水没有提供，后来知道是自助的（无人提醒，自己发现）。再来，水不是很热，还好放了热水壶在旁边自己可以加一下。估计生意太好太好了吧，朋友先到明明很多空位，不安排入座，非要等到所有人到齐了才安排最后安排了一个门口有风的地方的桌子。我们提出是否可以换桌，老板娘那个态度哦～蛮拽的，一副找茬的态度要不是朋友选的，真的立马走人！吃完更觉得一般…当然好的也要说，服务员加菜啥的还是叫的应的，上菜也算快。「脆皮大肠」店内招牌，蘸了汁水吃，略咸。还算可以吧。「爆炒腰花」好咸「干炸臭豆腐」好臭好咸「东坡肉(块)」这个还可以不算太亏「莼菜鱼圆汤」鱼圆还可以，跟我们食堂差不多「醉虾」口味挺重朋友觉得还不错的一道菜。总体来说，吃都吃了，但就是莫名其妙吃不饱。菜也没有那么好吃，我感觉杭帮菜还是杭州酒家好吃，这个真的蛮一般的。反正一顿饭吃下来，大家都被吹的浑身发抖，脚都冰冰凉平台选必吃榜还是要考量下的，给惯的，后期也应该考核吧，不然这样的店说是代表杭帮菜也太让人笑话了吧	
lydiafu,http://www.dianping.com/member/581799,45,口味：4.5 环境：4.5 服务：4.5 性价比：4.5 人均：160元,喜欢的菜： 脆皮大肠 醉虾 嫩菱芦笋 清炒芦笋 醉湖蟹,2020-12-30 00:00,简直太好吃了，也许是太饿？「脆皮大肠」特别酥脆，一碗又能给不少，沾着汁特给力。「干炸臭豆腐」酥脆可口值得点「膏蟹」啥也别说了，跟照片一模一样的黄，腌的入味，售价188一份，那也值得吃一次。「清炒芦笋」性价比无敌，嫩做了个大桌，都是单人过来吃饭拼桌的，每人至少3个菜起步，貌似都很好吃。	
芒果冻鱼,http://www.dianping.com/member/813249928,5,口味：0.5 环境：0.5 服务：0.5 性价比：0.5,喜欢的菜： 蛋黄南瓜 脆皮大肠,2020-12-29 23:40,[环境]环境超级差，从门外走过经过都没忍出来，朋友还怀疑是不是盗版的店，进去以后桌与桌之间座位都很拥挤，离得太近了[服务]服务超级差，我们同行3忍都感觉不太好，但决定点2道菜试一下再走，前后两个不同服务员阿姨问了三次：三个人就两道菜啊?而且餐具看图1，很搞笑，写着自愿使用2元，但请问来饭馆吃饭不用餐具我用手抓吗?[菜品]点了招牌的大肠，和想象的外脆里嫩完全不一样，外面一点也不酥脆，吃起来超级腻。咸蛋黄南瓜，可以说是和蛋黄毫无相关，只有咸。[排队]来的比较早，拼桌可以不用排队，还好我们选了拼桌。吃完失望愤怒离开，看到外面还有排队的人好想大喊：快跑啊别等了不值得	
Juno小吃货,http://www.dianping.com/member/775161652,50,口味：5.0 环境：5.0 服务：5.0 性价比：5.0,喜欢的菜： 脆皮大肠 油淋鸡 东坡肉(块),2020-12-29 19:28,寒风中冲进店里，迎面而来热闹的气氛赶走了凉意。排队的不少，拼桌不用排队。「脆皮大肠」应是卤得软香入味的大肠过了一遍热油，外酥里嫩，蘸上酱汁，脆酥肥软香嫩全部占满，再划一口米饭，快哉！「油淋鸡」卤得刚断生的鸡肉，淋上酱油，浇上热油，鸡皮酥香，鸡肉嫩，赞[服务铃]服务：上菜速度可以算是很快了，服务到位，有求必应。来杭州玩不吃这家有点可惜～～必吃推荐	
牧之,http://www.dianping.com/member/1199970553,45,口味：4.5 环境：4.5 服务：4.5 性价比：4.5,喜欢的菜： 脆皮大肠 油淋鸡 八宝油条,2020-12-29 18:15,脆皮大肠外面是真的脆，附带的酱汁是甜口油淋鸡有点点油，外皮也是脆脆的，吃到后期会有点腻八宝油条好评醉虾感觉一般，可能我不喜欢吃，虾是活虾，吃到嘴都是酱料的味道，咸甜口	
心肝宝贝你突然在眼前,http://www.dianping.com/member/50195411,35,口味：4.0 环境：2.5 服务：3.5 性价比：3.5,喜欢的菜： 脆皮大肠,2020-12-29 17:52,昨晚去了拼桌不用等上菜也很快。普通家常菜可以试试很多人	
zlphere,http://www.dianping.com/member/21721351,45,口味：5.0 环境：4.0 服务：5.0 性价比：5.0,,2020-12-29 14:25,店外面正在修地铁，还好没有塞车。门面很小不起眼，进去之后都坐满了。味道确实不错，是用料很实在的本地菜，强推脆皮大肠，外脆里嫩蘸上酱汁，真的太好吃了！每次在杭州都要必点各种笋，这家的焖笋放了糖，味道会偏甜一些	
一颗土豆猪,http://www.dianping.com/member/110216393,40,口味：4.5 环境：3.5 服务：3.5 性价比：4.0,喜欢的菜： 醉虾 茶树菇八爪鱼,2020-12-29 13:52,「油淋鸡」没有网友说的柴哦还可以「醉虾」好吃😋推荐！！一定要点！「茶树菇八爪鱼」这个太推荐啦！小伙伴盲点的！竟然没有踩雷🉑️🉑️🉑️「萝卜仔排汤」中规中矩不踩雷我们没有点脆皮大肠因为中午不想吃油油的到的时候刚好饭点！看门口还以为没人进去之后人多的不要不要的！！吃货真的多！！可以选择等位跟拼桌。结合味道性价比真的很不错但是真的太火了！！做好排队准备…	
爱喝柠檬茶,http://www.dianping.com/member/1269492678,35,口味：4.0 环境：4.0 服务：4.0 性价比：3.0 人均：70元,喜欢的菜： 脆皮大肠,2020-12-29 10:36,看了某up主视频过来拔草。位置离五号线就几百米，门口在修地铁有围挡只能走路到达。五点过来已经要等二十几桌了，太俏了！「脆皮大肠」第一个上来，大肠外皮脆脆的，里面软软的，蘸了配的汤汁味道还是蛮好吃的，但是真的贵，一小块三元。「油淋鸡」鸡肉应该有点是胸脯肉比较柴，浇的是葱油和蒸鱼豉油吃起来也还可以吧「葱油蛏子」搭配常用调料，蛏子可能是为了做的嫩焯的有点生了，肚子里面爆浆了味道有点不舒服，腥气不喜欢。但是处理的还可以，黑的裙边搞掉了沙子就没有了。「八宝油条」油条就一般油条，裹了一层芡，有些豆子咸肉之类的，口感脆还是酥脆的就是有点咸了。「干炸臭豆腐」不知道为什么臭豆腐有点苦，试了一下酱没问题，我们几个人都觉得苦。臭味不大，就淡淡的味道。总的来说一般，等候时间和体验感不成正比，价格偏贵，量也不实在。还是必吃榜，现在点评的榜单有点……	
一颗小草莓,http://www.dianping.com/member/43844310,40,口味：4.0 环境：4.0 服务：4.0 性价比：4.0 人均：120元,喜欢的菜： 脆皮大肠 油淋鸡 马蹄芦笋,2020-12-29 07:51,【我是一只小猪🐷吃吃喝喝不该有罪恶感】默默收藏这家店好久，终于一个天气好的中午，晒晒太阳，溜达到福缘居。「油淋鸡」这个鸡好吃！炸过的，鸡皮一点都不油腻！爱了爱了！而且很入味，鸡肉又嫩。🐔「脆皮大肠」大肠肥了点，不过味道还不错「马蹄芦笋」芦笋蛮嫩的。马蹄跟芦笋蛮搭，好恰～学费了，以后家里也可以这么做。「肉骨蟹」蟹切开炒，虽然味道毛好～但好像吃不出蟹原本的鲜美了，都是调料的味道了。「糖醋带鱼」这个带鱼炸的有点过头了，醋的味道重。吃了一块就不想吃了。天气好好吃饱饱☀️𝟐𝟎𝟐𝟎.𝟏𝟏.𝟎𝟑	
K先生,http://www.dianping.com/member/1568935387,35,口味：4.0 环境：2.5 服务：1.5 性价比：2.5,,2020-12-29 04:23,这家的话算是老字号了，但是很奇怪的是虽然写着是杭帮菜，然鹅真正的杭帮菜却做的一般。当时去的时候可以说鸡，大肠是每桌一份，而那些诸如醋鱼之类的几乎没人点。我们是旅客不太懂结果就直接踩坑。建议把这家当成私房菜馆来对待，会有惊喜。杭帮菜就呵呵了。	
牙刷又要换了,http://www.dianping.com/member/111510961,40,口味：4.0 环境：3.0 服务：3.0 性价比：4.0,喜欢的菜： 醉虾 卤鸭 西湖牛肉羹,2020-12-29 00:14,乳鸭推荐，很下饭大脆皮大肠没有海猫的好吃牛肉羹nice醉虾好吃甜辣酱口味整体口味可以很家常很杭帮，节奏太快来不及好好品尝，属于家里懒得烧菜去吃一吃不错。感觉打包回家慢慢吃会更美味。个人会更爱吃老董海猫大头几家都很好吃的杭帮菜	
goodbyesadness,http://www.dianping.com/member/140698253,15,口味：1.0 环境：3.5 服务：3.5 性价比：2.0,,2020-12-28 23:45,仅代表个人口味：真的难吃。难吃就算了，回去胃痛了。不知道是不是醉虾的问题。	
甜甜圈candy,http://www.dianping.com/member/6467391,45,口味：5.0 环境：4.0 服务：4.0 性价比：4.0,喜欢的菜： 脆皮大肠 油淋鸡,2020-12-28 23:37,一年前去的，最近翻照片翻到当时的照片，又开始馋了打算最近再去光顾一下记得当时去的时候将近18点，门口排队的人多到怀疑人生，等了半个多小时，跟其余两组客人凑了个大桌，还挺热闹「脆皮大肠」招牌菜真是名不虚传，表皮脆脆的，里面糯糯的，口味偏甜，没有任何骚气，吃得停不下来「家常豆腐」我很喜欢的家常菜，只要菜谱上有就必点。这家的家常豆腐料很足，就是酱的味道稍微重了点「酱爆茄子」茄子很糯很入味，就是油有点重，吃着有点罪恶感，但真的很好吃，超级下饭「油淋鸡」最后上的，有点吃饱了，但是肉很嫩，有浓浓的葱香味。蘸着酱汁，还是狠狠地吃了好几块[薄荷]环境:就是家常小馆子，还算干净，有市井的烟火气，吃得很落胃。	
